[00:00.13]  Sentate
[16:19.84]  almíbar
[16:20.43]  caliente,
[16:21.24]  formando
[16:21.77]  unos
[16:22.12]  hilos
[16:22.51]  y
[16:22.56]  grumitos
[16:23.10]  dorados
[16:23.63]  que
[16:24.07]  flotaban
[16:24.78]  en
[16:24.95]  el
[16:25.15]  jarabe
[16:25.96]  perfumado
[16:26.67]  con
[16:26.98]  limón
[16:27.59]  o
[16:27.69]  vainilla.
[16:28.90]  Era
[16:29.13]  dulce,
[16:29.66]  muy
[16:29.89]  dulce,
[16:30.42]  casi
[16:30.92]  empalagosa
[16:31.49]  y
[16:31.59]  por
[16:31.86]  eso
[16:32.02]  se
[16:32.17]  servía
[16:32.74]  en
[16:32.86]  porciones
[16:33.55]  chiquitas
[16:34.23]  en
[16:34.51]  compoteras
[16:35.12]  de
[16:35.28]  vidrio
[16:35.76]  para
[16:36.10]  las
[16:36.32]  visitas
[16:37.14]  importantes.
[16:38.08]  Aprovechaba
[16:39.25]  las
[16:39.56]  yemas
[16:40.10]  cuando
[16:40.77]  una
[16:41.07]  receta
[16:41.72]  se
[16:41.92]  había
[16:42.57]  llevado
[16:43.32]  solo
[16:43.75]  las
[16:44.07]  claras.
[16:44.82]  Se
[16:44.97]  perdió
[16:45.49]  porque
[16:45.95]  hoy
[16:46.16]  nos
[16:46.38]  parece
[16:46.84]  demasiado
[16:47.51]  dulce,
[16:48.03]  demasiado
[16:48.71]  de
[16:48.89]  antes,
[16:49.38]  y
[16:49.45]  porque
[16:49.90]  batir
[16:50.41]  yemas
[16:50.69]  en
[16:50.86]  almíbar
[16:51.39]  sin
[16:51.60]  que
[16:51.81]  se
[16:51.95]  corten
[16:52.37]  tiene
[16:52.73]  su
[16:52.87]  técnica,
[16:53.58]  pero
[16:53.86]  la
[16:54.00]  ambrosía
[16:54.63]  era
[16:54.84]  un
[16:54.98]  lujo
[16:55.40]  hecho
[16:55.92]  con
[16:56.12]  lo
[16:56.30]  que
[16:56.57]  sobraba,
[16:57.42]  con
[16:57.69]  las
[16:57.92]  yemas
[16:58.37]  huérfanas
[16:59.27]  de
[16:59.47]  otra
[16:59.81]  receta.
[17:00.66]  Otra
[17:01.00]  vez,
[17:01.38]  nada
[17:01.70]  se
[17:01.86]  tiraba,
[17:02.68]  todo
[17:02.82]  se
[17:02.98]  volvía
[17:03.62]  delicadeza,
[17:04.50]  y
[17:04.58]  esa
[17:04.94]  manera
[17:05.30]  de
[17:05.46]  encontrar
[17:06.27]  un
[17:06.48]  dulce
[17:06.82]  fino
[17:07.22]  en
[17:07.42]  lo
[17:07.66]  que
[17:07.95]  otros
[17:08.43]  descartaban
[17:09.53]  se
[17:09.78]  fue
[17:10.03]  apagando
[17:10.89]  con
[17:11.13]  las
[17:11.43]  cocineras
[17:12.43]  de
[17:12.53]  antes.
[17:13.59]  El
[17:13.70]  16
[17:14.44]  era
[17:14.81]  la
[17:15.05]  ilusión
[17:16.02]  más
[17:16.51]  grande
[17:17.30]  del
[17:17.74]  año,
[17:18.39]  los
[17:18.72]  huevos
[17:19.46]  y
[17:19.58]  bombones
[17:20.56]  de
[17:20.80]  chocolate
[17:21.97]  caseros.
[17:22.92]  Chocolate
[17:23.49]  derretido
[17:24.05]  a
[17:24.10]  baño
[17:24.40]  María,
[17:24.94]  volcado
[17:25.34]  en
[17:25.46]  moldecitos,
[17:26.20]  rellenos
[17:26.76]  algunos
[17:27.20]  con
[17:27.32]  dulce
[17:27.74]  de
[17:27.88]  leche
[17:28.26]  o
[17:28.30]  con
[17:28.51]  una
[17:28.72]  avellana,
[17:29.49]  y
[17:29.76]  para
[17:29.77]  pascua
[17:30.19]  los
[17:30.43]  huevos
[17:30.82]  armados
[17:31.31]  con
[17:31.58]  dos
[17:31.73]  mitades
[17:32.22]  pegadas
[17:32.78]  con
[17:33.12]  más
[17:33.46]  chocolate.
[17:34.64]  Era
[17:34.84]  un
[17:34.98]  trabajo
[17:35.48]  de
[17:35.62]  mucho
[17:35.92]  cuidado,
[17:36.66]  con
[17:36.73]  el
[17:36.93]  chocolate
[17:37.47]  que
[17:37.67]  no
[17:37.84]  se
[17:37.93]  podía
[17:38.34]  quemar
[17:38.74]  ni
[17:38.92]  mojar,
[17:39.33]  y
[17:39.39]  toda
[17:39.80]  la
[17:39.90]  casa
[17:40.24]  terminaba
[17:40.92]  manchada
[17:41.54]  de
[17:41.92]  marrón
[17:42.24]  y
[17:42.32]  feliz.
[17:43.15]  Los
[17:43.36]  chicos
[17:43.87]  esperábamos
[17:45.04]  ese
[17:45.31]  momento
[17:45.98]  como
[17:46.32]  el
[17:46.51]  más
[17:46.89]  dulce
[17:47.36]  del
[17:47.64]  año.
[17:48.36]  Hoy
[17:48.58]  los
[17:48.88]  huevos
[17:49.24]  de
[17:49.38]  pascua
[17:49.81]  se
[17:49.95]  compran,
[17:50.65]  gigantes,
[17:51.32]  envueltos
[17:52.00]  en
[17:52.10]  papeles
[17:52.64]  brillantes,
[17:53.48]  y
[17:53.55]  adentro
[17:54.18]  casi
[17:54.52]  siempre
[17:55.16]  traen
[17:55.55]  un
[17:55.72]  juguetito
[17:56.50]  de
[17:56.67]  plástico,
[17:57.61]  pero
[17:58.02]  el
[17:58.12]  chocolate
[17:58.90]  casero
[17:59.42]  de
[17:59.59]  mi
[17:59.79]  madre,
[18:00.36]  imperfecto,
[18:01.34]  a
[18:01.47]  veces
[18:01.86]  con
[18:02.03]  la
[18:02.18]  superficie
[18:02.96]  opaca,
[18:03.49]  hecho
[18:03.88]  con
[18:04.16]  las
[18:04.34]  manos
[18:04.73]  de
[18:04.88]  ella,
[18:05.41]  tenía
[18:05.81]  un
[18:05.96]  sabor
[18:06.35]  que
[18:06.58]  ningún
[18:07.39]  huevo
[18:07.64]  de
[18:07.79]  vidriera
[18:08.40]  merió
[18:08.86]  jamás,
[18:09.55]  se
[18:09.62]  perdió
[18:10.22]  la
[18:10.30]  ceremonia
[18:10.99]  de
[18:11.14]  armarlos
[18:11.76]  juntos,
[18:12.38]  y
[18:12.45]  sin
[18:12.68]  esa
[18:13.06]  ceremonia
[18:14.19]  la
[18:14.40]  pascua
[18:15.12]  es
[18:15.36]  un
[18:15.60]  poco
[18:16.09]  menos
[18:16.70]  pascua.
[18:17.86]  El
[18:18.12]  17
[18:18.90]  lo
[18:19.16]  llevábamos
[18:20.59]  como
[18:21.11]  un
[18:21.37]  trofeo
[18:22.15]  por
[18:22.54]  la
[18:22.80]  calle,
[18:23.71]  los
[18:24.10]  chupetines
[18:25.40]  caseros,
[18:26.40]  caramelo
[18:26.49]  de
[18:26.54]  azúcar
[18:27.07]  con
[18:27.30]  colorante
[18:27.98]  y
[18:28.04]  jugo
[18:28.50]  de
[18:28.56]  limón
[18:28.95]  o
[18:29.02]  de
[18:29.23]  alguna
[18:29.63]  fruta,
[18:30.18]  volcado
[18:30.82]  sobre
[18:31.06]  un
[18:31.21]  papel
[18:31.59]  manteca
[18:32.35]  formando
[18:32.76]  un
[18:32.89]  redondel,
[18:33.55]  con
[18:33.75]  un
[18:33.87]  palito
[18:34.28]  de
[18:34.41]  madera
[18:34.81]  apoyado
[18:35.28]  en
[18:35.42]  el
[18:35.54]  borde
[18:35.87]  para
[18:36.14]  agarrarlo,
[18:36.87]  cuando
[18:37.46]  se
[18:37.62]  enfriaba
[18:38.30]  quedaba
[18:38.86]  ese
[18:39.10]  caramelo
[18:39.77]  duro,
[18:40.28]  translúcido,
[18:41.41]  brillante
[18:42.15]  como
[18:42.48]  un
[18:42.64]  vidrio
[18:43.14]  de
[18:43.30]  colores.
[18:44.26]  Los
[18:44.48]  hacíamos
[18:45.14]  en
[18:45.28]  casa
[18:45.57]  las
[18:45.79]  tardes
[18:46.28]  de
[18:46.36]  lluvia
[18:46.78]  cuando
[18:47.22]  no
[18:47.36]  se
[18:47.50]  podía
[18:47.94]  salir
[18:48.33]  y
[18:48.38]  era
[18:48.60]  toda
[18:48.89]  una
[18:49.19]  aventura.
[18:52.14]  Se
[18:52.29]  perdieron
[18:52.99]  porque
[18:53.46]  el
[18:53.61]  chupetín
[18:54.29]  se
[18:54.43]  compra
[18:54.96]  por
[18:55.14]  monedas
[18:55.67]  y
[18:55.73]  viene
[18:56.22]  perfecto,
[18:56.89]  redondito,
[18:57.86]  pero
[18:57.99]  los
[18:58.09]  nuestros
[18:58.71]  salían
[18:59.25]  disparejos,
[19:00.17]  cada
[19:00.47]  uno
[19:00.71]  con
[19:00.94]  su
[19:01.09]  forma
[19:01.50]  rara
[19:01.77]  y
[19:01.84]  por
[19:02.14]  eso
[19:02.30]  eran
[19:02.61]  nuestros.
[19:05.26]  Hacer
[19:05.64]  un
[19:05.79]  caramelo,
[19:06.55]  verlo
[19:07.28]  endurecer,
[19:07.78]  elegir
[19:08.24]  tu
[19:08.39]  palito,
[19:09.00]  esperar
[19:09.54]  a
[19:09.61]  que
[19:09.84]  enfriara,
[19:10.60]  eso
[19:10.87]  era
[19:11.22]  jugar
[19:11.62]  y
[19:11.74]  comer
[19:12.10]  al
[19:12.26]  mismo
[19:12.66]  tiempo,
[19:13.30]  hoy
[19:13.54]  el
[19:13.70]  dulce
[19:14.18]  llega
[19:14.50]  hecho
[19:14.90]  y
[19:15.06]  la
[19:15.14]  espera
[19:15.62]  desapareció
[19:16.59]  y
[19:16.67]  la
[19:16.94]  espera
[19:17.62]  mi
[19:17.84]  amor
[19:18.29]  le
[19:18.51]  ponía
[19:19.23]  al
[19:19.41]  dulce
[19:19.97]  la
[19:20.19]  mitad
[19:20.78]  del
[19:21.22]  gusto.
[19:21.87]  El
[19:21.95]  18
[19:22.58]  pintaba
[19:23.31]  de
[19:23.76]  colores
[19:24.25]  toda
[19:24.70]  la
[19:24.88]  repostería,
[19:26.23]  las
[19:26.54]  frutas
[19:27.17]  a
[19:27.35]  brillantadas
[19:28.55]  caseras,
[19:29.46]  trocitos
[19:30.42]  de
[19:30.59]  fruta,
[19:31.19]  de
[19:31.40]  zapallo,
[19:32.30]  de
[19:32.38]  higo,
[19:32.81]  de
[19:32.98]  naranja,
[19:33.75]  cocinados
[19:34.52]  largamente
[19:35.39]  en
[19:35.56]  almíbar
[19:36.25]  concentrado
[19:37.34]  hasta
[19:37.71]  que
[19:37.93]  quedaban
[19:38.52]  confitados,
[19:39.39]  brillantes,
[19:40.30]  casi
[19:40.57]  como
[19:40.87]  caramelos
[19:41.60]  gomosos
[19:42.03]  y
[19:42.10]  después
[19:42.69]  secados
[19:43.34]  y
[19:43.47]  espolvoreados
[19:45.36]  con
[19:45.63]  azúcar.
[19:47.11]  Servían
[19:47.66]  para
[19:48.00]  adornar
[19:48.60]  el
[19:49.00]  pan
[19:49.03]  dulce
[19:49.46]  la
[19:49.67]  rosca
[19:50.06]  o
[19:50.18]  simplemente
[19:51.09]  para
[19:51.43]  chupar
[19:51.94]  de
[19:52.11]  a
[19:52.19]  una,
[19:52.62]  de
[19:52.80]  colores
[19:53.50]  verdes
[19:54.02]  rojos
[19:54.38]  ámbar
[19:54.86]  parecían
[19:55.58]  piedras
[19:56.19]  preciosas
[19:56.89]  en
[19:57.02]  un
[19:57.18]  frasco.
[19:57.94]  Hoy
[19:58.28]  las
[19:58.62]  frutas
[19:59.28]  a
[19:59.39]  brillantadas
[20:00.76]  se
[20:00.95]  compran
[20:01.78]  y
[20:01.84]  muchos
[20:02.52]  hasta
[20:03.08]  las
[20:03.41]  odian,
[20:04.19]  las
[20:04.59]  sacan
[20:05.09]  del
[20:05.43]  pan
[20:05.88]  dulce,
[20:06.40]  pero
[20:06.67]  hacerlas
[20:07.25]  en
[20:07.38]  casa
[20:07.90]  era
[20:07.90]  un
[20:08.04]  arte
[20:08.33]  de
[20:08.47]  paciencia
[20:09.13]  de
[20:09.27]  días
[20:09.62]  cambiándoles
[20:10.57]  el
[20:10.70]  almíbar
[20:11.42]  esperando
[20:12.13]  el
[20:12.28]  punto.
[20:13.05]  Se
[20:13.09]  perdieron
[20:13.90]  porque
[20:14.40]  casi
[20:14.94]  nadie
[20:15.21]  confita
[20:15.88]  fruta
[20:16.24]  ya
[20:16.41]  lleva
[20:16.85]  una
[20:17.20]  eternidad
[20:17.98]  y
[20:18.04]  con
[20:18.24]  ellas
[20:18.58]  se
[20:18.74]  fue
[20:18.94]  esa
[20:19.18]  idea
[20:19.50]  hermosa
[20:20.07]  de
[20:20.22]  que
[20:20.46]  la
[20:20.78]  fruta
[20:21.02]  con
[20:21.26]  tiempo
[20:21.76]  y
[20:21.90]  azúcar
[20:22.38]  se
[20:22.53]  podía
[20:23.02]  volver
[20:23.50]  joya,
[20:23.98]  se
[20:24.14]  podía
[20:24.74]  volver
[20:25.14]  eterna.
[20:25.74]  El
[20:26.08]  19
[20:26.88]  era
[20:27.31]  el
[20:27.76]  mismo
[20:28.30]  de
[20:28.58]  los
[20:29.01]  cumpleaños
[20:30.67]  chiquitos,
[20:32.14]  los
[20:32.57]  conitos
[20:33.57]  de
[20:33.85]  dulce
[20:34.56]  de
[20:34.84]  leche,
[20:35.94]  un
[20:36.13]  merenguito
[20:36.67]  seco
[20:36.87]  o
[20:36.97]  una
[20:37.23]  masita
[20:37.75]  en
[20:37.92]  forma
[20:38.53]  de
[20:38.56]  cucurucho,
[20:39.50]  rellenos
[20:40.18]  de
[20:40.38]  dulce
[20:40.82]  de
[20:40.93]  leche
[20:41.47]  bien
[20:41.72]  firme
[20:42.15]  y
[20:42.24]  a
[20:42.36]  veces
[20:42.77]  con
[20:43.26]  la
[20:43.42]  puntita
[20:44.00]  mojada
[20:44.49]  en
[20:44.65]  chocolate,
[20:45.55]  se
[20:45.72]  ponían
[20:46.30]  parados
[20:46.90]  en
[20:47.10]  la
[20:47.20]  bandeja
[20:47.77]  como
[20:48.19]  una
[20:48.35]  fila
[20:48.68]  de
[20:48.87]  sombreritos
[20:49.86]  y
[20:49.99]  eran
[20:50.27]  de
[20:50.43]  esos
[20:50.76]  dulces
[20:51.24]  que
[20:51.48]  uno
[20:51.88]  se
[20:51.88]  comía
[20:52.36]  de
[20:52.55]  un
[20:52.68]  solo
[20:53.06]  bocado
[20:53.50]  con
[20:53.74]  los
[20:53.98]  ojos
[20:54.31]  cerrados,
[20:55.12]  delicados,
[20:56.30]  dulcísimos,
[20:57.60]  hechos
[20:58.32]  de
[20:58.40]  a
[20:58.60]  uno
[20:58.80]  con
[20:59.12]  la
[20:59.30]  manga
[20:59.80]  de
[21:00.00]  repostería.
[21:01.59]  Se
[21:01.61]  perdieron
[21:02.31]  de
[21:02.46]  las
[21:02.69]  mesas
[21:03.07]  caseras
[21:03.61]  porque
[21:04.07]  armarlos
[21:04.70]  lleva
[21:05.10]  su
[21:05.30]  maña
[21:05.69]  y
[21:05.74]  su
[21:05.84]  tiempo,
[21:06.46]  la
[21:06.61]  manga,
[21:07.30]  el
[21:07.38]  pulso,
[21:07.94]  el
[21:08.12]  relleno
[21:08.78]  justo,
[21:09.39]  hoy
[21:09.84]  se
[21:09.96]  compran
[21:10.47]  en
[21:10.65]  la
[21:10.90]  confitería
[21:11.82]  iguales
[21:12.46]  perfectos.
[21:13.66]  Los
[21:13.90]  de
[21:14.06]  la
[21:14.22]  abuela
[21:14.70]  eran
[21:15.02]  un
[21:15.18]  poquito
[21:15.74]  chuecos
[21:16.35]  con
[21:16.62]  el
[21:16.70]  dulce
[21:17.10]  de
[21:17.25]  leche
[21:17.73]  rebalsando
[21:18.46]  y
[21:18.59]  eso
[21:18.78]  los
[21:19.06]  hacía
[21:19.38]  más
[21:19.72]  ricos,
[21:20.15]  más
[21:20.43]  de
[21:20.57]  verdad,
[21:21.35]  esa
[21:21.40]  imperfección
[21:22.34]  hecha
[21:22.62]  con
[21:22.83]  cariño,
[21:23.46]  ese
[21:23.67]  detalle
[21:24.16]  de
[21:24.31]  armar
[21:24.65]  algo
[21:25.06]  lindo
[21:25.43]  solo
[21:25.72]  para
[21:26.04]  ver
[21:26.23]  la
[21:26.37]  cara
[21:26.66]  de
[21:27.02]  los
[21:27.08]  chicos
[21:27.46]  es
[21:27.60]  de
[21:27.75]  lo
[21:27.88]  que
[21:28.10]  más
[21:28.39]  extraño.
[21:29.40]  Y
[21:29.43]  el
[21:29.64]  20,
[21:30.43]  el
[21:30.60]  último
[21:31.32]  de
[21:31.59]  la
[21:31.70]  lista,
[21:32.40]  es
[21:32.60]  el
[21:32.80]  más
[21:33.20]  criollo
[21:33.90]  de
[21:34.10]  todos,
[21:34.91]  el
[21:35.00]  del
[21:35.30]  norte
[21:35.95]  de
[21:36.00]  mi
[21:36.30]  familia,
[21:37.06]  el
[21:37.31]  quesillo
[21:38.29]  con
[21:38.66]  arrope
[21:39.39]  o
[21:39.51]  la
[21:39.76]  leche
[21:40.38]  cortada
[21:41.34]  endulzada.
[21:42.82]  La
[21:42.96]  leche
[21:43.34]  cortada
[21:43.80]  a
[21:43.87]  propósito,
[21:44.84]  colada,
[21:45.27]  apretada
[21:45.83]  en
[21:46.02]  un
[21:46.11]  molde
[21:46.46]  hasta
[21:46.81]  hacer
[21:47.16]  ese
[21:47.38]  quesillo
[21:47.93]  blanco
[21:48.50]  y
[21:48.63]  fresco
[21:49.20]  que
[21:49.50]  se
[21:49.70]  servía
[21:50.52]  bañado
[21:51.10]  en
[21:51.32]  arrope
[21:51.90]  oscuro
[21:52.50]  o
[21:52.60]  en
[21:52.80]  almíbar
[21:53.60]  de
[21:53.80]  fruta.
[21:54.85]  Pero
[21:54.99]  dulce
[21:55.32]  del
[21:55.56]  arrope
[21:55.91]  con
[21:56.11]  lo
[21:56.24]  apenas
[21:56.74]  ácido
[21:57.04]  del
[21:57.24]  quesillo
[21:57.77]  era
[21:57.97]  una
[21:58.17]  combinación
[21:59.00]  que
[21:59.17]  hoy
[21:59.50]  suena
[21:59.90]  rara,
[22:00.38]  pero
[22:00.70]  que
[22:00.94]  era
[22:01.42]  pura
[22:01.52]  sabiduría
[22:02.32]  antigua,
[22:03.02]  se
[22:03.18]  comía
[22:03.78]  frío
[22:04.06]  en
[22:04.21]  los
[22:04.46]  días
[22:04.86]  de
[22:05.11]  calor
[22:05.46]  en
[22:05.70]  las
[22:05.82]  casas
[22:06.38]  de
[22:06.60]  campo
[22:07.17]  del
[22:07.84]  norte,
[22:08.30]  se
[22:08.52]  perdió
[22:09.30]  porque
[22:10.10]  ya
[22:10.20]  casi
[22:10.75]  nadie
[22:11.22]  hace
[22:11.78]  quesillo
[22:12.47]  en
[22:12.63]  casa
[22:12.98]  ni
[22:13.15]  tiene
[22:13.62]  arrope
[22:14.14]  en
[22:14.26]  la
[22:14.46]  alacena,
[22:15.14]  era
[22:15.55]  el
[22:15.64]  dulce
[22:15.96]  de
[22:16.12]  la
[22:16.31]  gente
[22:16.69]  de
[22:16.85]  campo
[22:17.26]  la
[22:17.46]  que
[22:17.69]  hacía
[22:18.18]  todo
[22:18.55]  con
[22:18.74]  la
[22:18.90]  leche
[22:19.46]  de
[22:19.69]  su
[22:19.74]  vaca
[22:20.10]  y
[22:20.19]  la
[22:20.40]  fruta
[22:20.82]  de
[22:21.00]  su
[22:21.18]  tierra,
[22:21.90]  perder
[22:22.52]  ese
[22:22.76]  quesillo
[22:23.43]  con
[22:23.84]  arrope
[22:24.24]  es
[22:24.49]  perder
[22:24.96]  una
[22:25.23]  manera
[22:25.80]  entera
[22:26.26]  de
[22:26.42]  vivir
[22:26.83]  la
[22:26.99]  de
[22:27.15]  la
[22:27.31]  casa
[22:27.64]  que
[22:27.88]  se
[22:28.20]  abastecía
[22:28.84]  a
[22:28.95]  sí
[22:29.22]  misma,
[22:29.73]  la
[22:29.90]  del
[22:30.13]  dulce
[22:30.54]  que
[22:30.77]  no
[22:30.93]  venía
[22:31.41]  de
[22:31.73]  ninguna
[22:32.18]  fábrica
[22:33.32]  sino
[22:34.20]  del
[22:34.32]  propio
[22:35.18]  patio,
[22:36.25]  pero
[22:36.53]  para
[22:36.84]  que
[22:37.11]  todavía
[22:37.79]  me
[22:37.84]  quedan
[22:38.30]  algunos
[22:38.84]  guardados
[22:39.58]  de
[22:39.70]  esos
[22:40.31]  que
[22:40.83]  casi
[22:41.72]  nadie
[22:42.15]  nombra
[22:43.09]  ya.
[22:43.86]  Estaban
[22:44.38]  las
[22:44.53]  pastillas
[22:45.14]  de
[22:45.27]  menta
[22:45.80]  caseras
[22:46.15]  hechas
[22:46.47]  con
[22:46.68]  azúcar
[22:47.14]  impalpable,
[22:47.94]  clara
[22:48.27]  y
[22:48.34]  unas
[22:48.61]  gotitas
[22:49.43]  de
[22:49.44]  esencia
[22:49.94]  de
[22:50.08]  menta
[22:50.43]  amasadas
[22:51.06]  y
[22:51.32]  cortadas
[22:51.62]  en
[22:51.76]  botoncitos
[22:52.50]  que
[22:52.69]  se
[22:52.81]  dejaban
[22:53.30]  secar
[22:53.65]  sobre
[22:54.01]  un
[22:54.30]  mármol,
[22:56.12]  eran
[22:56.38]  las
[22:56.64]  que
[22:56.76]  la
[22:56.89]  abuela
[22:57.27]  llevaba
[22:57.72]  en
[22:57.98]  la
[22:58.14]  cartera
[22:58.42]  para
[22:58.68]  la
[22:58.81]  iglesia
[22:59.26]  para
[22:59.52]  que
[22:59.71]  los
[22:59.96]  chicos
[23:00.40]  nos
[23:00.48]  quedáramos
[23:01.26]  quietos,
[23:01.89]  frescas,
[23:02.52]  blancas,
[23:03.28]  se
[23:03.29]  deshacían
[23:03.99]  en
[23:04.13]  la
[23:04.27]  boca,
[23:04.69]  se
[23:04.83]  perdieron
[23:05.54]  porque
[23:05.88]  hoy
[23:06.09]  cualquier
[23:06.82]  pastilla
[23:07.74]  se
[23:07.97]  compra,
[23:08.89]  pero
[23:09.35]  esos
[23:09.81]  botoncitos
[23:10.95]  hechos
[23:11.64]  a
[23:11.75]  mano
[23:12.21]  tenían
[23:13.02]  el
[23:13.25]  gusto
[23:13.82]  de
[23:14.05]  las
[23:14.39]  manos
[23:14.96]  de
[23:15.19]  ella.
[23:15.91]  Estaba
[23:16.18]  el
[23:16.31]  dulce
[23:16.64]  de
[23:16.77]  cayote,
[23:17.30]  esa
[23:17.70]  calabaza
[23:18.07]  rara
[23:18.29]  que
[23:18.49]  se
[23:18.62]  deshacía
[23:19.21]  en
[23:19.34]  hebras
[23:19.74]  finitas
[23:20.21]  dentro
[23:20.78]  del
[23:21.00]  almíbar,
[23:21.76]  con
[23:21.94]  nueces
[23:22.38]  y
[23:22.44]  clavo
[23:22.81]  de
[23:22.95]  olor,
[23:23.37]  y
[23:23.47]  que
[23:23.74]  se
[23:23.80]  usaba
[23:24.17]  para
[23:24.45]  rellenar
[23:25.06]  las
[23:25.24]  empanadillas
[23:26.30]  dulces
[23:26.82]  del
[23:27.08]  norte,
[23:27.68]  un
[23:27.85]  dulce
[23:28.32]  de
[23:28.45]  hilos
[23:28.87]  transparente
[23:29.89]  perfumado
[23:30.67]  que
[23:30.93]  ya
[23:31.10]  casi
[23:31.44]  ningún
[23:32.12]  chico
[23:32.47]  probó,
[23:33.22]  se
[23:33.36]  fue
[23:33.58]  apagando
[23:34.15]  con
[23:34.37]  las
[23:34.59]  cocinas
[23:35.24]  criollas,
[23:35.82]  con
[23:36.04]  las
[23:36.26]  abuelas
[23:36.76]  del
[23:37.06]  interior
[23:37.57]  que
[23:37.79]  lo
[23:37.93]  sabían
[23:38.73]  hacer
[23:39.12]  de
[23:39.33]  memoria.
[23:40.62]  Estaba
[23:40.99]  la
[23:41.20]  rapadura,
[23:42.24]  la
[23:42.45]  tableta
[23:43.18]  de
[23:43.39]  azúcar
[23:44.21]  negra
[23:44.64]  con
[23:45.00]  manío
[23:45.60]  con
[23:45.88]  nuez,
[23:46.50]  dura,
[23:47.34]  oscura,
[23:47.93]  que
[23:48.18]  se
[23:48.32]  rompía
[23:48.81]  los
[23:49.25]  golpes
[23:49.47]  y
[23:49.63]  se
[23:49.69]  chupaba
[23:50.21]  despacito
[23:50.88]  porque
[23:51.32]  duraba
[23:51.77]  una
[23:51.99]  eternidad.
[23:53.02]  Era
[23:53.26]  el
[23:53.40]  dulce
[23:53.78]  del
[23:53.96]  monte,
[23:54.45]  del
[23:54.66]  cañaberal,
[23:55.55]  el
[23:55.64]  más
[23:55.95]  humilde
[23:56.46]  de
[23:56.55]  todos,
[23:57.10]  no
[23:57.18]  costaba
[23:57.67]  nada
[23:57.95]  y
[23:58.02]  endulzaba
[23:58.78]  las
[23:59.30]  tardes
[24:00.19]  más
[24:00.82]  largas.
[24:02.26]  Se
[24:02.42]  perdió
[24:02.89]  con
[24:03.10]  los
[24:03.34]  ingenios
[24:03.88]  chiquitos,
[24:04.65]  con
[24:04.94]  la
[24:04.98]  vida
[24:05.26]  del
[24:05.47]  campo
[24:05.97]  que
[24:06.36]  se
[24:06.68]  fue
[24:07.17]  vaciando.
[24:09.04]  Y
[24:09.12]  estaba,
[24:09.76]  cómo
[24:10.16]  olvidarlo,
[24:11.04]  la
[24:11.20]  miel
[24:11.52]  de
[24:11.68]  caña
[24:12.14]  sobre
[24:12.65]  el
[24:12.84]  pan
[24:13.04]  casero
[24:13.58]  o
[24:13.67]  sobre
[24:14.14]  un
[24:14.30]  poco
[24:14.66]  de
[24:14.79]  queso
[24:15.27]  fresco.
[24:16.10]  No
[24:16.16]  era
[24:16.44]  una
[24:16.60]  golosina
[24:17.26]  elaborada,
[24:18.21]  era
[24:18.42]  lo
[24:18.58]  más
[24:18.91]  simple
[24:19.41]  del
[24:19.75]  mundo,
[24:20.40]  pan,
[24:20.58]  queso,
[24:21.49]  un
[24:21.75]  chorro
[24:22.60]  de
[24:22.87]  miel
[24:23.31]  oscura.
[24:24.50]  Pero
[24:24.86]  cuando
[24:25.06]  venías
[24:25.51]  muerto
[24:25.78]  de
[24:25.89]  hambre
[24:26.22]  de
[24:26.40]  jugar
[24:26.66]  en
[24:26.84]  la
[24:27.02]  calle,
[24:27.72]  ese
[24:27.94]  pan
[24:28.24]  con
[24:28.38]  miel
[24:28.70]  de
[24:28.85]  caña
[24:29.17]  era
[24:29.38]  el
[24:29.74]  dulce
[24:29.89]  más
[24:30.18]  rico
[24:30.46]  que
[24:30.69]  existía.
[24:31.56]  Y
[24:31.57]  esa
[24:31.80]  capacidad
[24:32.45]  de
[24:32.65]  ser
[24:33.05]  feliz
[24:33.28]  con
[24:33.50]  tan
[24:33.76]  poco
[24:34.05]  con
[24:34.23]  pan
[24:34.45]  y
[24:34.52]  miel
[24:34.94]  también
[24:35.39]  se
[24:35.53]  nos
[24:35.75]  fue
[24:35.97]  yendo
[24:36.33]  de
[24:36.47]  a
[24:36.56]  poco.
[24:37.20]  Y
[24:37.33]  antes
[24:38.39]  de
[24:38.83]  irme
[24:39.70]  quiero
[24:40.27]  decirte
[24:40.93]  lo
[24:41.12]  mismo
[24:41.72]  que
[24:41.87]  te
[24:42.06]  dije
[24:42.44]  la
[24:42.66]  otra
[24:43.01]  vez
[24:43.29]  porque
[24:43.98]  es
[24:44.05]  lo
[24:44.26]  que
[24:44.52]  de
[24:44.71]  verdad
[24:45.31]  importa.
[24:46.35]  Ninguno
[24:46.94]  de
[24:47.07]  estos
[24:47.46]  dulces
[24:47.81]  se
[24:47.94]  perdió
[24:48.40]  porque
[24:48.96]  fuera
[24:49.23]  malo,
[24:49.54]  se
[24:49.67]  perdieron
[24:50.33]  porque
[24:50.68]  el
[24:50.82]  mundo
[24:51.22]  se
[24:51.29]  apuró,
[24:51.87]  porque
[24:52.42]  todo
[24:52.69]  se
[24:52.82]  empezó
[24:53.28]  a
[24:53.34]  comprar
[24:53.81]  hecho,
[24:54.44]  envuelto
[24:54.80]  en
[24:54.93]  papeles
[24:55.39]  de
[24:55.52]  colores,
[24:56.11]  porque
[24:56.51]  dejamos
[24:56.98]  de
