[00:00.27] There
[14:20.00]  want
[14:20.33]  you
[14:20.59]  to
[14:20.76]  do
[14:20.93]  tonight
[14:21.71]  along
[14:22.00]  with
[14:22.26]  setting
[14:22.57]  the
[14:22.72]  trap
[14:23.36] ,
[14:23.36]  because
[14:23.90]  the
[14:24.13]  trap
[14:24.44]  alone
[14:24.90]  will
[14:25.14]  not
[14:25.37]  finish
[14:25.83]  the
[14:26.06]  job
[14:26.28] .
[14:26.56]  You
[14:26.77]  have
[14:27.09]  to
[14:27.28]  find
[14:27.47]  where
[14:27.82]  the
[14:28.11]  flies
[14:28.38]  are
[14:28.61]  breeding
[14:29.05] .
[14:29.44]  A
[14:29.59]  fly
[14:29.77]  does
[14:30.11]  not
[14:30.35]  lay
[14:30.60]  her
[14:30.85]  eggs
[14:31.15]  on
[14:31.34]  your
[14:31.67]  kitchen
[14:32.26]  counter
[14:32.83] .
[14:33.12]  She
[14:33.35]  lays
[14:33.66]  them
[14:33.97]  in
[14:34.16]  something
[14:34.81]  rotting
[14:35.60] .
[14:35.60]  Walk
[14:35.81]  your
[14:36.02]  kitchen
[14:36.44] .
[14:36.56]  Walk
[14:37.30]  your
[14:37.42]  back
[14:37.85]  porch
[14:38.39] .
[14:39.40]  Walk
[14:39.65]  the
[14:39.89]  area
[14:40.24]  around
[14:40.77]  your
[14:41.12]  garbage
[14:41.74]  cans
[14:42.09] .
[14:42.40]  Lift
[14:42.77]  the
[14:43.01]  lid
[14:43.27]  of
[14:43.46]  every
[14:43.88]  trash
[14:44.32]  can
[14:44.58] .
[14:44.88]  Look
[14:45.18]  under
[14:45.56]  the
[14:45.79]  sink
[14:46.18]  for
[14:46.32]  the
[14:46.55]  bag
[14:46.92]  that
[14:47.08]  has
[14:47.31]  been
[14:47.61]  there
[14:47.99]  too
[14:48.22]  long
[14:48.51] .
[14:48.80]  Look
[14:49.05]  in
[14:49.17]  the
[14:49.35]  bottom
[14:49.72]  of
[14:49.86]  the
[14:50.03]  fruit
[14:50.34]  bowl
[14:50.58]  for
[14:50.85]  the
[14:50.94]  apple
[14:51.28]  you
[14:51.43]  forgot
[14:51.80]  about
[14:52.11] .
[14:52.40]  Look
[14:52.67]  in
[14:53.07]  the
[14:53.12]  dog
[14:53.36]  dish
[14:53.80]  for
[14:53.92]  the
[14:54.30]  food
[14:54.56]  that
[14:54.80]  has
[14:55.04]  been
[14:55.36]  sitting
[14:55.92]  since
[14:56.35]  breakfast
[14:57.01] .
[14:57.36]  Look
[14:57.65]  in
[14:57.78]  the
[14:57.98]  drain
[14:58.33]  of
[14:58.47]  the
[14:58.71]  kitchen
[14:59.19]  sink
[14:59.63] ,
[14:59.71]  because
[15:00.03]  a
[15:00.12]  cl
[15:00.19] ogged
[15:00.58]  drain
[15:00.80]  with
[15:01.03]  food
[15:01.28]  residue
[15:02.00]  is
[15:02.13]  the
[15:02.33]  single
[15:02.73]  most
[15:03.02]  common
[15:03.39]  fly
[15:03.59]  breeding
[15:04.12]  ground
[15:04.56]  in
[15:04.74]  modern
[15:05.28]  houses
[15:05.92]  and
[15:06.09]  almost
[15:06.60]  nobody
[15:07.11]  thinks
[15:07.62]  of
[15:07.80]  it
[15:07.95] .
[15:08.38]  Pour
[15:08.52]  a
[15:08.59]  kettle
[15:09.01]  of
[15:09.15]  boiling
[15:09.64]  water
[15:09.98]  down
[15:10.27]  the
[15:10.48]  kitchen
[15:10.97]  drain
[15:11.36]  once
[15:11.73]  a
[15:11.82]  week
[15:12.12] .
[15:12.48]  Then
[15:12.83]  a
[15:12.95]  tablespoon
[15:13.78]  of
[15:14.02]  baking
[15:14.47]  soda
[15:14.82] .
[15:15.12]  Then
[15:15.45]  half
[15:15.78]  a
[15:15.91]  cup
[15:16.13]  of
[15:16.27]  plain
[15:16.69]  white
[15:17.18]  vinegar
[15:17.58] .
[15:18.00]  Let
[15:18.18]  it
[15:18.30]  foam
[15:18.59]  for
[15:18.73]  10
[15:19.10]  minutes
[15:19.53] .
[15:19.76]  Rin
[15:20.35] se
[15:20.41]  with
[15:20.83]  hot
[15:21.19]  water
[15:21.79] .
[15:22.16]  That
[15:22.51]  one
[15:22.70]  habit
[15:23.08]  will
[15:23.46]  eliminate
[15:24.07]  the
[15:24.32]  fly
[15:24.54]  nursery
[15:25.08]  you
[15:25.44]  did
[15:25.54]  not
[15:25.77]  know
[15:26.08]  you
[15:26.31]  were
[15:26.62]  running
[15:27.41] .
[15:27.44]  This
[15:27.71]  is
[15:27.84]  what
[15:28.11]  my
[15:28.27]  grandmother
[15:29.04]  called
[15:29.57]  keeping
[15:30.03]  a
[15:30.11]  clean
[15:30.53]  house
[15:30.81] ,
[15:30.96]  and
[15:31.22]  what
[15:31.56]  the
[15:31.82]  agricultural
[15:32.90]  folks
[15:33.29]  now
[15:33.55]  call
[15:33.96]  source
[15:34.45]  reduction
[15:35.44] .
[15:35.44]  Same
[15:35.74]  idea
[15:36.05] ,
[15:36.18]  200
[15:36.85]  years
[15:37.22]  apart
[15:37.59] .
[15:38.40]  Five
[15:38.52]  minutes
[15:38.85]  a
[15:38.94]  week
[15:39.31] ,
[15:39.49]  the
[15:39.93]  fly
[15:40.11]  starts
[15:40.58]  in
[15:40.76]  something
[15:41.59]  rotting
[15:42.23] .
[15:42.56]  End
[15:42.73]  her
[15:42.90]  there
[15:43.18] .
[15:43.36]  Now
[15:43.64]  you
[15:44.07]  have
[15:44.26]  the
[15:44.53]  trap
[15:44.89] ,
[15:45.07]  and
[15:45.34]  you
[15:45.79]  have
[15:45.97]  walked
[15:46.54]  the
[15:46.82]  kitchen
[15:47.39] ,
[15:47.68]  that
[15:47.99]  handles
[15:48.48]  the
[15:48.70]  eggs
[15:48.99]  and
[15:49.33]  the
[15:49.43]  flies
[15:49.79]  coming
[15:50.23]  in
[15:50.37] .
[15:50.64]  But
[15:50.93]  there
[15:51.42]  are
[15:51.80]  still
[15:52.20]  adult
[15:52.69]  flies
[15:53.18]  in
[15:53.37]  your
[15:53.76]  house
[15:54.34]  right
[15:54.74]  now
[15:55.03] ,
[15:55.36]  born
[15:55.61]  last
[15:56.00]  week
[15:56.39] ,
[15:56.72]  that
[15:57.02]  are
[15:57.24]  not
[15:57.47]  going
[15:57.84]  to
[15:57.99]  walk
[15:58.29]  into
[15:58.59]  the
[15:58.81]  jar
[15:59.03]  on
[15:59.20]  their
[15:59.56]  own
[15:59.78] .
[16:00.08]  They
[16:00.41]  might
[16:00.94]  eventually
[16:01.81] ,
[16:02.06]  but
[16:02.10]  some
[16:02.39]  of
[16:02.55]  them
[16:02.88]  are
[16:03.13]  stubborn
[16:04.00] ,
[16:04.13]  and
[16:04.23]  the
[16:04.46]  warm
[16:04.77]  kitchen
[16:05.39]  is
[16:05.46]  more
[16:05.77]  interesting
[16:06.63]  to
[16:06.78]  them
[16:07.15]  than
[16:07.40]  the
[16:07.62]  windows
[16:08.14] ill
[16:08.47] .
[16:08.48]  So
[16:08.67]  we
[16:08.86]  have
[16:09.23]  to
[16:09.42]  push
[16:09.79]  them
[16:10.16]  toward
[16:10.72]  the
[16:11.25]  trap
[16:11.37]  or
[16:11.55]  out
[16:11.84]  the
[16:12.11]  door
[16:12.56] .
[16:12.56]  And
[16:12.80]  this
[16:13.12]  is
[16:13.35]  where
[16:13.67]  my
[16:13.83]  grandmother
[16:14.70]  lit
[16:14.94]  the
[16:15.18]  sm
[16:15.34] udge
[16:15.65] .
[16:15.92]  She
[16:16.19]  kept
[16:16.54]  an
[16:16.72]  old
[16:16.99]  tin
[16:17.26]  coffee
[16:17.79]  can
[16:18.08]  on
[16:18.18]  the
[16:18.33]  back
[16:18.56]  of
[16:18.68]  the
[16:18.80]  wood
[16:19.19]  stove
[16:19.68]  with
[16:19.95]  the
[16:20.15]  lid
[16:20.35]  punched
[16:20.91]  full
[16:21.09]  of
[16:21.22]  nail
[16:21.49]  holes
[16:21.83] .
[16:22.08]  Inside
[16:22.75]  the
[16:23.01]  can
[16:23.38]  was
[16:23.63]  a
[16:23.73]  small
[16:24.24]  handful
[16:24.96]  of
[16:25.16]  dried
[16:25.66]  herbs
[16:26.39]  from
[16:26.51]  the
[16:26.71]  ra
[16:26.87] fters
[16:27.18]  of
[16:27.34]  the
[16:27.51]  summer
[16:27.92]  kitchen
[16:28.38] .
[16:28.64]  Bay
[16:29.12]  laure
[16:30.08] l
[16:30.08] .
[16:30.08]  Cl
[16:30.25] oves
[16:30.55] .
[16:30.88]  A
[16:31.07]  few
[16:31.14]  dried
[16:31.48]  mint
[16:31.75]  leaves
[16:32.16] .
[16:33.03]  Sometimes
[16:33.71]  a
[16:33.88]  spoon
[16:34.22] ful
[16:34.47]  of
[16:34.63]  crushed
[16:35.27]  lav
[16:35.47] ender
[16:35.92] .
[16:35.92]  She
[16:36.15]  set
[16:36.38]  a
[16:36.46]  small
[16:36.83]  piece
[16:37.21]  of
[16:37.36]  charcoal
[16:37.98]  in
[16:38.13]  the
[16:38.36]  bottom
[16:38.82] ,
[16:39.12]  lit
[16:39.34]  it
[16:39.70]  with
[16:39.94]  a
[16:40.03]  match
[16:40.56] ,
[16:40.56]  and
[16:40.81]  let
[16:41.06]  the
[16:41.31]  herbs
[16:41.76]  sm
[16:41.89] older
[16:42.30]  for
[16:42.62]  about
[16:42.97]  ten
[16:43.22]  minutes
[16:43.96]  on
[16:44.00]  a
[16:44.08]  Friday
[16:44.57]  evening
[16:45.14]  before
[16:45.63]  supper
[16:46.11] .
[16:46.40]  The
[16:46.69]  smoke
[16:47.33]  was
[16:47.46]  thin
[16:47.85] .
[16:48.16]  It
[16:48.34]  did
[16:48.62]  not
[16:48.90]  fill
[16:49.27]  the
[16:49.55]  house
[16:49.94] .
[16:50.32]  You
[16:50.48]  could
[16:50.72]  barely
[16:51.02]  see
[16:51.17]  it
[16:51.27] .
[16:51.44]  But
[16:52.21]  every
[16:52.22]  fly
[16:52.52]  in
[16:52.76]  the
[16:52.99]  kitchen
[16:53.68]  left
[16:54.07]  within
[16:54.66]  five
[16:55.05]  minutes
[16:55.73] .
[16:56.08]  They
[16:56.41]  went
[16:56.88]  to
[16:56.90]  the
[16:57.15]  windows
[16:57.68] .
[16:58.00]  They
[16:58.33]  went
[16:58.80]  to
[16:58.82]  the
[16:59.07]  door
[16:59.40] .
[16:59.89]  They
[17:00.01]  went
[17:00.34]  out
[17:00.57] ,
[17:00.92]  and
[17:01.00]  here
[17:01.33]  is
[17:01.53]  the
[17:01.75]  part
[17:02.06]  that
[17:02.40]  matters
[17:02.98] .
[17:03.28]  A
[17:03.45]  portion
[17:03.97]  of
[17:04.18]  them
[17:04.55]  went
[17:04.90]  toward
[17:05.39]  the
[17:05.62]  mol
[17:05.88] asses
[17:06.31]  jar
[17:06.57]  on
[17:06.74]  the
[17:07.00]  windows
[17:07.61] ill
[17:07.92] .
[17:07.92]  Because
[17:08.49]  that
[17:08.82]  is
[17:08.98]  the
[17:09.22]  strongest
[17:09.96]  smell
[17:10.40]  in
[17:10.57]  a
[17:10.65]  kitchen
[17:11.46]  that
[17:11.64]  suddenly
[17:12.37]  smells
[17:12.92]  of
[17:13.10]  cl
[17:13.52] ove
[17:13.55]  and
[17:13.82]  bay
[17:14.09] .
[17:14.40]  Sm
[17:14.56] udge
[17:14.91]  does
[17:15.22]  not
[17:15.46]  kill
[17:15.79]  flies
[17:16.20] .
[17:16.48]  It
[17:16.67]  just
[17:17.22]  drives
[17:17.63]  them
[17:18.01]  out
[17:18.30]  of
[17:18.49]  one
[17:18.78]  place
[17:19.26]  and
[17:19.66]  into
[17:19.93]  another
[17:20.60] .
[17:20.96]  You
[17:21.17]  can
[17:21.38]  do
[17:21.52]  this
[17:21.84]  tonight
[17:22.48]  with
[17:22.61]  what
[17:22.89]  you
[17:23.10]  already
[17:23.60]  have
[17:23.78] .
[17:24.16]  A
[17:24.36]  ceramic
[17:24.91]  dish
[17:25.30] .
[17:25.60]  A
[17:25.71]  charcoal
[17:26.25]  disc
[17:26.54]  from
[17:26.85]  the
[17:27.10]  hardware
[17:27.63]  store
[17:27.99]  for
[17:28.21]  two
[17:28.47]  dollars
[17:28.94] .
[17:29.60]  A
[17:29.28]  teaspoon
[17:29.98]  of
[17:30.21]  cloves
[17:30.68]  and
[17:30.94]  a
[17:31.03]  teaspoon
[17:31.72]  of
[17:31.89]  dried
[17:32.33]  bay
[17:32.59]  leaves
[17:33.12]  from
[17:33.59]  your
[17:33.82]  spice
[17:34.26]  rack
[17:34.61] .
[17:34.96]  Light
[17:35.35]  it
[17:35.50]  once
[17:35.81]  a
[17:35.88]  week
[17:36.17]  on
[17:36.41]  a
[17:36.43]  Friday
[17:36.88]  before
[17:37.35]  supper
[17:37.89] ,
[17:37.97]  the
[17:38.40]  way
[17:38.43]  my
[17:38.58]  grandmother
[17:39.43]  did
[17:39.67] ,
[17:39.92]  and
[17:40.13]  the
[17:40.40]  flies
[17:40.69]  will
[17:40.97]  spend
[17:41.32]  the
[17:41.53]  weekend
[17:42.21]  either
[17:42.44]  in
[17:42.58]  your
[17:42.93]  trap
[17:43.14]  or
[17:43.28]  in
[17:43.46]  your
[17:43.70]  neighbor
[17:44.26] 's
[17:44.40]  yard
[17:44.68] .
[17:44.96]  This
[17:45.32]  is
[17:45.50]  not
[17:45.92]  folklore
[17:46.50] .
[17:46.80]  The
[17:47.08]  active
[17:47.65]  oils
[17:48.03]  in
[17:48.22]  cl
[17:48.41] ove
[17:48.69]  and
[17:49.02]  bay
[17:49.25]  laure
[17:49.73] l
[17:49.82] ,
[17:50.10]  e
[17:50.14] ugen
[17:50.48] ol
[17:50.67]  and
[17:50.95]  l
[17:51.04] oris
[17:51.42] ,
[17:51.61]  ter
[17:51.89] p
[17:51.98] ens
[17:52.26] ,
[17:52.56]  are
[17:52.79]  documented
[17:53.57]  insect
[17:54.04]  repe
[17:54.35] ll
[17:54.52] ents
[17:54.80]  in
[17:54.96]  agricultural
[17:55.96]  research
[17:56.53]  going
[17:57.09]  back
[17:57.23]  to
[17:57.37]  the
[17:57.65]  1950
[17:58.58] s
[17:58.62] .
[17:59.44]  They
[17:59.45]  do
[17:59.61]  not
[17:59.70]  harm
[18:00.03]  honey
[18:00.45] bees
[18:00.78]  who
[18:01.03]  are
[18:01.28]  tucked
[18:01.78]  in
[18:01.94]  their
[18:02.36]  h
[18:02.44] ives
[18:02.77]  for
[18:03.02]  the
[18:03.27]  evening
[18:03.92]  by
[18:04.06]  the
[18:04.27]  time
[18:04.55]  you
[18:04.76]  are
[18:04.97]  lighting
[18:05.53]  the
[18:05.74]  sm
[18:05.88] udge
[18:06.12] .
[18:06.40]  They
[18:06.73]  do
[18:06.89]  not
[18:07.13]  harm
[18:07.49]  cats
[18:07.79]  or
[18:07.95]  dogs
[18:08.28]  at
[18:08.44]  the
[18:08.68]  trace
[18:09.09]  amounts
[18:09.66]  you
[18:09.93]  are
[18:10.14]  producing
[18:10.88] .
[18:11.20]  They
[18:11.56]  smell
[18:12.00] ,
[18:12.28]  to
[18:12.37]  a
[18:12.46]  human
[18:12.91] ,
[18:13.31]  like
[18:13.45]  Christmas
[18:14.23] .
[18:14.56]  To
[18:14.74]  a
[18:14.83]  fly
[18:15.10] ,
[18:15.27]  they
[18:15.74]  smell
[18:16.07]  like
[18:16.49]  a
[18:16.52]  warning
[18:17.14] .
[18:17.44]  What
[18:17.86]  we
[18:18.07]  know
[18:18.68] ,
[18:18.70]  we
[18:18.91]  know
[18:19.33]  by
[18:19.54]  hand
[18:19.87] .
[18:20.32]  And
[18:20.58]  the
[18:20.84]  hand
[18:21.19]  of
[18:21.36]  my
[18:21.53]  grandmother
[18:22.59]  lit
[18:22.76]  a
[18:22.84]  sm
[18:23.01] udge
[18:23.40]  every
[18:23.80]  Friday
[18:24.33]  of
[18:24.50]  her
[18:24.76]  life
[18:25.18]  for
[18:25.37]  68
[18:25.93]  years
[18:26.33] ,
[18:26.81]  and
[18:26.91]  no
[18:27.09]  fly
[18:27.36]  ever
[18:27.73]  spoiled
[18:28.35]  a
[18:28.44]  Sunday
[18:28.98]  roast
[18:29.41]  in
[18:29.75]  her
[18:29.88]  kitchen
[18:30.50] .
[18:30.80]  I
[18:30.97]  want
[18:31.20]  to
[18:31.36]  leave
[18:31.77]  you
[18:32.01]  with
[18:32.33]  something
[18:33.08]  larger
[18:33.76] ,
[18:33.76]  because
[18:34.42]  I
[18:34.43]  think
[18:34.83]  it
[18:34.99]  matters
[18:35.51] .
[18:35.84]  The
[18:36.08]  common
[18:36.57]  house
[18:36.98] fly
[18:37.22]  is
[18:37.38]  not
[18:37.62]  a
[18:37.70]  small
[18:38.11]  problem
[18:38.68] .
[18:38.96]  The
[18:39.17]  World
[18:39.52]  Health
[18:39.94]  Organization
[18:40.80]  counts
[18:41.25]  the
[18:41.47]  house
[18:41.84] fly
[18:42.08]  as
[18:42.24]  a
[18:42.32]  mechanical
[18:43.16]  vector
[18:43.70]  for
[18:43.91]  more
[18:44.23]  than
[18:44.58]  65
[18:45.07]  separate
[18:45.74]  human
[18:46.16]  diseases
[18:46.88] .
[18:46.88]  In
[18:47.05]  the
[18:47.31]  rural
[18:47.73]  United
[18:48.24]  States
[18:48.76] ,
[18:49.15]  before
[18:49.47]  plumbing
[18:50.15] ,
[18:50.16]  the
[18:50.40]  leading
[18:50.96]  cause
[18:51.35]  of
[18:51.52]  death
[18:51.92]  for
[18:52.16]  children
[18:52.81]  under
[18:53.39]  five
[18:53.61]  was
[18:53.77]  diarr
[18:54.17] he
[18:54.33] al
[18:54.49]  disease
[18:55.12] .
[18:55.32]  And
[18:55.32]  the
[18:55.59]  primary
[18:56.00]  mode
[18:56.27]  of
[18:56.40]  transmission
[18:57.27]  was
[18:57.52]  flies
[18:58.36]  moving
[18:58.65]  between
[18:59.13]  out
[18:59.33] houses
[18:59.74]  and
[18:59.93]  kitchens
[19:00.49] .
[19:00.72]  That
[19:01.45]  is
[19:01.59]  not
[19:02.03]  a
[19:02.17]  story
[19:02.89] .
[19:03.36]  That
[19:03.68]  is
[19:03.92]  a
[19:03.95]  death
[19:04.33]  rate
[19:04.64]  in
[19:04.94]  the
[19:05.05]  public
[19:05.54]  records
[19:06.29]  of
[19:06.34]  every
[19:06.84]  county
[19:07.46]  in
[19:07.52]  this
[19:07.85]  country
[19:08.53]  before
[19:09.12]  about
[19:09.64]  1925
[19:11.00] .
[19:11.36]  The
[19:11.65]  reason
[19:12.23]  it
[19:12.42]  stopped
[19:13.29]  killing
[19:13.65]  children
[19:14.33]  at
[19:14.41]  that
[19:14.70]  rate
[19:15.24]  was
[19:15.32]  not
[19:15.62]  pesticide
[19:16.43] .
[19:16.72]  It
[19:16.89]  was
[19:17.12]  plumbing
[19:17.75] .
[19:18.00]  It
[19:18.18]  was
[19:18.45]  screens
[19:19.00] .
[19:19.36]  It
[19:19.56]  was
[19:19.79]  the
[19:20.05]  fly
[19:20.36]  trap
[19:20.66]  on
[19:20.83]  the
[19:21.09]  windows
[19:21.71] ill
[19:21.97]  in
[19:22.14]  every
[19:22.58]  farm
[19:22.93] house
[19:23.37]  from
[19:23.72]  Maine
[19:24.16]  to
[19:24.33]  Texas
[19:24.88] .
[19:25.06]  What
[19:25.28]  changed
[19:25.71]  in
[19:25.88]  the
[19:26.08]  last
[19:26.38]  60
[19:26.83]  years
[19:27.21]  is
[19:27.36]  that
[19:27.66]  we
[19:27.82]  stopped
[19:28.40]  setting
[19:28.82]  the
[19:29.00]  trap
[19:29.23] .
[19:29.44]  We
[19:29.61]  started
[19:30.23]  spraying
[19:30.95]  instead
[19:31.52] .
[19:31.84]  The
[19:32.13]  aeros
[19:32.62] ol
[19:32.81]  can
[19:33.10]  replaced
[19:34.00]  the
[19:34.17]  jar
[19:34.46] .
[19:34.80]  The
[19:35.02]  aeros
[19:35.39] ol
[19:35.52]  can
[19:35.75]  is
[19:35.90]  what
[19:36.26]  the
[19:36.41]  marketing
[19:37.12]  department
[19:37.92]  of
[19:38.09]  a
[19:38.17]  chemical
[19:38.85]  company
[19:39.45]  sold
[19:39.89]  to
[19:39.96]  your
[19:40.30]  grandmother
[19:41.24]  in
[19:41.41]  1968
[19:42.48] .
[19:42.48]  And
[19:42.70]  what
[19:43.01]  she
[19:43.28]  taught
[19:43.65]  your
[19:43.94]  mother
[19:44.38]  to
[19:44.53]  use
[19:44.89] ,
[19:44.99]  and
[19:45.02]  what
[19:45.20]  your
[19:45.38]  mother
[19:45.64]  taught
[19:45.92]  you
[19:46.07] .
[19:46.24]  And
[19:46.48]  the
[19:46.95]  spray
[19:47.11]  kills
[19:47.50]  the
[19:47.74]  fly
[19:47.98]  that
[19:48.32]  is
[19:48.45]  already
[19:49.00]  in
[19:49.16]  the
[19:49.40]  room
[19:49.71] .
[19:50.72]  It
[19:50.73]  does
[19:51.04]  not
[19:51.28]  stop
[19:51.63]  the
[19:51.84]  next
[19:52.19]  500
[19:52.89]  from
[19:53.21]  being
[19:53.61]  born
[19:53.93]  in
[19:54.09]  the
[19:54.33]  garbage
[19:54.89]  can
[19:55.24]  under
[19:55.52]  the
[19:55.71]  sink
[19:55.97] .
[19:56.16]  It
[19:56.39]  also
[19:56.85]  kills
[19:57.40] ,
[19:57.76]  in
[19:57.87]  small
[19:58.35] ,
[19:58.64]  accumulating
[19:59.68]  doses
[20:00.29] ,
[20:00.35]  the
[20:00.49]  honey
[20:00.83] bees
[20:01.12]  that
[20:01.40]  work
[20:01.68]  the
[20:01.84]  cl
[20:02.05] over
[20:02.47]  in
[20:02.64]  your
[20:02.88]  front
[20:03.31]  yard
[20:03.64] ,
[20:03.84]  the
[20:04.09]  song
[20:04.43] birds
[20:04.86]  that
[20:05.19]  eat
[20:05.47]  the
[20:05.69]  bees
[20:06.02] ,
[20:06.36]  and
[20:06.48]  probably
[20:07.12]  some
[20:07.40]  part
[20:07.68]  of
[20:07.88]  whatever
[20:08.40]  lives
[20:08.72]  in
[20:08.88]  your
[20:09.15]  own
[20:09.36]  gut
[20:09.84]  when
[20:10.13]  the
[20:10.35]  residue
[20:10.86]  is
[20:11.08]  on
[20:11.14]  the
[20:11.36]  bread
[20:11.72]  you
[20:11.94]  set
[20:12.16]  down
[20:12.45]  on
[20:12.59]  the
[20:12.89]  counter
[20:13.32]  you
[20:13.54]  just
[20:13.83]  sprayed
[20:14.39] .
[20:14.64]  This
[20:15.02]  is
[20:15.46]  the
[20:15.49]  bargain
[20:16.15]  we
[20:16.34]  made
[20:16.72] ,
[20:16.90]  and
[20:17.32]  most
[20:17.56]  folks
[20:18.06]  do
[20:18.30]  not
[20:18.50]  know
[20:18.88]  they
[20:19.26]  made
[20:19.64]  it
[20:19.83] .
[20:20.35]  The
[20:20.39]  mol
[20:20.62] asses
[20:21.02]  trap
[20:21.33]  does
[20:21.62]  not
[20:21.85]  make
[20:22.16]  this
[20:22.47]  bargain
[20:23.00] .
[20:23.28]  It
[20:23.53]  kills
[20:24.05]  flies
[20:24.61] .
[20:24.96]  It
[20:25.12]  only
[20:25.44]  kills
[20:25.83]  flies
[20:26.22] .
[20:26.48]  It
[20:27.15]  costs
[20:27.37]  $
[20:27.45] 3
[20:27.82] ,
[20:28.06]  and
[20:28.43]  it
[20:28.66]  lasts
[20:29.28]  a
[20:29.40]  summer
[20:30.14] .
[20:30.56]  The
[20:30.80]  sm
[20:30.96] udge
[20:31.28]  does
[20:31.60]  not
[20:31.84]  make
[20:32.16]  this
[20:32.48]  bargain
[20:33.04] .
[20:33.36]  It
[20:33.53]  pushes
[20:34.01]  flies
[20:34.42]  out
[20:34.66]  of
[20:34.82]  one
[20:35.06]  room
[20:35.38]  into
[20:35.70]  another
[20:36.27] .
[20:36.56]  It
[20:37.25]  costs
[20:37.44]  $
[20:37.49] 2
[20:37.84] ,
[20:38.07]  and
[20:38.42]  it
[20:38.65]  lasts
[20:39.24]  six
[20:39.59]  months
[20:40.32] .
[20:40.72]  The
[20:41.04]  clean
[20:41.42]  drain
[20:41.86]  does
[20:42.21]  not
[20:42.49]  make
[20:42.99]  this
[20:43.27]  bargain
[20:43.78] .
[20:44.08]  It
[20:44.23]  costs
[20:44.62]  nothing
[20:45.16] ,
[20:45.31]  and
[20:45.55]  it
[20:45.69]  takes
[20:46.08]  five
[20:46.39]  minutes
[20:46.93]  a
[20:47.00]  week
[20:47.31] .
[20:47.76]  The
[20:47.87]  whole
[20:48.32]  system
[20:48.95] ,
[20:49.04]  jar
[20:49.31] ,
[20:49.51]  paper
[20:49.94] ,
[20:50.15]  mol
[20:50.39] asses
[20:50.84] ,
[20:51.09]  sm
[20:51.24] udge
[20:51.62] ,
[20:51.93]  walked
[20:52.26]  kitchen
[20:52.73] ,
[20:53.02]  clean
[20:53.48]  drain
[20:54.08] ,
[20:54.08]  costs
[20:54.56]  less
[20:54.96]  than
[20:55.34]  $
[20:55.51] 5
[20:55.72]  to
[20:55.91]  set
[20:56.20]  up
[20:56.39]  the
[20:56.73]  first
[20:57.21]  time
[20:57.73]  and
[20:57.84]  runs
[20:58.16]  itself
[20:58.76]  the
[20:58.80]  rest
[20:59.04]  of
[20:59.20]  your
[20:59.51]  life
[20:59.84]  with
[21:00.23]  no
[21:00.43]  contract
[21:01.33] ,
[21:01.40]  no
[21:01.59]  spray
[21:02.08] ,
[21:02.36]  no
[21:02.46]  harm
[21:02.85]  done
[21:03.24] .
[21:03.60]  This
[21:03.90]  is
[21:04.05]  what
[21:04.35]  we
[21:04.50]  have
[21:04.80]  always
[21:05.26]  done
[21:05.54] .
[21:05.84]  Not
[21:06.08]  because
[21:06.63]  we
[21:06.80]  were
[21:07.10]  clever
[21:07.84] .
[21:07.84]  Because
[21:08.42]  we
[21:08.58]  had
[21:08.86]  no
[21:08.99]  choice
[21:09.48] .
[21:09.76]  When
[21:10.02]  you
[21:10.22]  cannot
[21:10.61]  drive
[21:11.07]  to
[21:11.07]  the
[21:11.27]  store
[21:11.60] ,
[21:11.76]  and
[21:11.99]  you
[21:12.25]  cannot
[21:12.71]  afford
[21:13.14]  the
[21:13.37]  spray
[21:13.75]  can
[21:14.00] ,
[21:14.00]  and
[21:14.20]  you
[21:14.45]  cannot
[21:14.82]  put
[21:15.01]  a
[21:15.07]  screen
[21:15.48]  on
[21:15.61]  a
[21:15.67]  window
[21:16.08]  your
[21:16.34]  great
[21:16.69] -
[21:16.75] grand
[21:17.09] father
[21:17.50]  built
[21:18.02]  before
[21:18.32]  screens
[21:18.88]  existed
[21:19.84] ,
[21:19.84]  you
[21:20.06]  figure
[21:20.51]  out
[21:20.73]  what
[21:21.04]  actually
[21:21.63]  works
[21:22.00]  with
[21:22.30]  what
[21:22.60]  you
[21:22.82]  have
[21:23.12]  at
[21:23.26]  hand
[21:23.51] .
[21:23.84]  And
[21:24.06]  what
[21:24.35]  we
[21:24.49]  figured
[21:25.00]  out
[21:25.36]  was
[21:25.44]  that
[21:25.79]  flies
[21:26.09]  are
[21:26.39]  not
[21:26.53]  a
[21:26.60]  fly
[21:26.82]  problem
[21:27.33] .
[21:27.60]  Fl
[21:28.19] ies
[21:28.28]  are
[21:28.55]  a
[21:28.67]  smell
[21:29.25]  problem
[21:30.09] .
[21:30.48]  If
[21:30.61]  you
[21:30.81]  remove
[21:31.21]  what
[21:31.47]  they
[21:31.73]  smell
[21:32.06] ,
[21:32.19]  they
[21:32.63]  leave
[21:32.78] .
[21:33.04]  If
[21:33.16]  you
[21:33.77]  replace
[21:34.07]  it
[21:34.24]  with
[21:34.58]  something
[21:35.36]  stronger
[21:36.28]  that
[21:36.35]  pulls
[21:36.69]  them
[21:36.96]  where
[21:37.30]  you
[21:37.49]  want
[21:37.81]  them
[21:38.04] ,
[21:38.24]  they
[21:38.52]  go
[21:38.66]  there
[21:39.00]  and
[21:39.38]  they
[21:39.49]  die
