[00:00.07]  Fíjate
[13:27.55]  la
[13:27.71]  maceta
[13:28.21]  no
[13:28.37]  se
[13:28.61]  raja.
[13:29.20]  Un
[13:29.37]  ladrillo
[13:29.78]  a
[13:29.84]  la
[13:29.96]  vista,
[13:30.40]  una
[13:30.62]  pared
[13:30.98]  exterior
[13:31.57]  porosa,
[13:32.20]  un
[13:32.37]  piso
[13:32.62]  de
[13:32.71]  cemento
[13:33.20]  que
[13:33.36]  se
[13:33.55]  mancha
[13:33.91]  con
[13:34.08]  todo.
[13:34.60]  Una
[13:34.80]  mano
[13:35.07]  de
[13:35.19]  esto
[13:35.47]  y
[13:35.60]  repelen
[13:36.00]  el
[13:36.13]  agua,
[13:36.62]  se
[13:36.77]  limpian
[13:37.51]  mejor
[13:37.87]  y
[13:37.97]  no
[13:38.01]  dejan
[13:38.35]  pasar
[13:38.71]  la
[13:38.85]  humedad.
[13:39.60]  Y
[13:39.77]  la
[13:39.79]  séptima,
[13:40.41]  que
[13:40.60]  engancha
[13:41.10]  con
[13:41.31]  otro
[13:41.56]  tema
[13:41.81]  enorme,
[13:42.40]  el
[13:42.66]  metal,
[13:43.60]  las
[13:43.76]  herramientas.
[13:44.60]  Una
[13:44.87]  película
[13:45.69]  finita
[13:46.22]  de
[13:46.41]  esto
[13:46.80]  sobre
[13:47.29]  una
[13:47.51]  herramienta,
[13:48.00]  sobre
[13:48.27]  una
[13:48.43]  hoja
[13:48.63]  de
[13:48.73]  sierra,
[13:49.20]  sobre
[13:49.49]  una
[13:49.71]  bisagra,
[13:50.20]  sobre
[13:50.62]  una
[13:50.87]  pala,
[13:51.40]  la
[13:51.58]  isla
[13:51.94]  del
[13:52.22]  agua
[13:52.59]  y
[13:52.69]  del
[13:53.11]  aire
[13:53.34]  húmedo.
[13:54.00]  Y
[13:54.17]  sin
[13:54.34]  agua
[13:54.68]  y
[13:54.76]  sin
[13:55.02]  aire
[13:55.36]  húmedo,
[13:56.12]  no
[13:56.24]  hay
[13:56.41]  óxido.
[13:57.00]  Es
[13:57.17]  un
[13:57.30]  truco
[13:57.66]  viejo
[13:58.02]  de
[13:58.17]  taller,
[13:58.80]  una
[13:59.02]  capa
[13:59.31]  fina
[13:59.60]  de
[13:59.80]  cera
[14:00.04]  o
[14:00.15]  de
[14:00.26]  esto
[14:00.60]  sobre
[14:00.93]  el
[14:01.05]  metal
[14:01.40]  que
[14:01.59]  no
[14:01.71]  querés
[14:02.15]  que
[14:02.40]  se
[14:02.46]  oxide.
[14:03.00]  Las
[14:03.17]  herramientas
[14:03.77]  que
[14:04.00]  guardás
[14:04.34]  para
[14:04.53]  el
[14:04.63]  invierno,
[14:05.20]  las
[14:05.42]  que
[14:05.64]  no
[14:05.79]  usas
[14:06.09]  seguido,
[14:06.95]  una
[14:06.97]  manito
[14:07.25]  y
[14:07.30]  las
[14:07.45]  encontrás
[14:08.00]  el
[14:08.14]  año
[14:08.33]  que
[14:08.51]  viene
[14:08.82]  como
[14:09.07]  las
[14:09.29]  dejaste.
[14:10.00]  Del
[14:10.17]  óxido
[14:10.45]  vamos
[14:10.71]  a
[14:10.76]  hablar
[14:11.07]  en
[14:11.17]  profundidad
[14:11.80]  en
[14:12.02]  otro
[14:12.33]  video,
[14:12.80]  pero
[14:13.01]  quédate
[14:13.41]  con
[14:13.56]  que
[14:13.71]  el
[14:13.81]  mismo
[14:14.07]  enemigo,
[14:14.60]  el
[14:14.82]  agua,
[14:15.40]  lo
[14:15.57]  frenás
[14:15.94]  con
[14:16.12]  la
[14:16.24]  misma
[14:16.54]  idea.
[14:17.00]  Ahora,
[14:17.47]  te
[14:17.59]  prometí
[14:18.14]  más
[14:18.40]  métodos
[14:19.02]  y
[14:19.09]  te
[14:19.27]  los
[14:19.81]  voy
[14:19.90]  a
[14:19.91]  dar,
[14:20.20]  porque
[14:20.53]  la
[14:20.64]  silicona
[14:21.07]  condisolvente
[14:21.80]  es
[14:21.93]  el
[14:22.06]  invento
[14:22.51]  estrella,
[14:23.20]  el
[14:23.37]  más
[14:23.65]  barato
[14:24.11]  y
[14:24.20]  el
[14:24.33]  más
[14:24.62]  rápido,
[14:25.20]  pero
[14:25.49]  no
[14:25.64]  es
[14:25.79]  el
[14:25.94]  único
[14:26.40]  y
[14:26.46]  no
[14:26.58]  siempre
[14:27.02]  es
[14:27.14]  el
[14:27.26]  mejor.
[14:27.80]  Un
[14:27.97]  buen
[14:28.13]  artesano
[14:28.56]  tiene
[14:28.84]  varias
[14:29.17]  herramientas,
[14:30.00]  no
[14:30.20]  una
[14:30.50]  sola.
[14:31.20]  Acaban
[14:31.62]  las
[14:31.78]  alternativas
[14:32.60]  y
[14:32.66]  cuando
[14:33.03]  conviene
[14:33.54]  cada
[14:33.88]  una.
[14:34.20]  Metodo
[14:34.98]  2,
[14:35.55]  la
[14:35.69]  cera
[14:35.98]  disuelta.
[14:36.77]  Podés
[14:37.02]  disolver
[14:37.59]  cera
[14:37.79]  para
[14:38.06]  fina
[14:38.40]  de
[14:38.53]  una
[14:38.73]  vela
[14:38.99]  común
[14:39.40]  o
[14:39.57]  cera
[14:39.89]  de
[14:40.09]  abeja
[14:40.60]  en
[14:40.80]  agua
[14:41.20]  rastibio,
[14:42.00]  con
[14:42.18]  muchísimo
[14:42.77]  cuidado
[14:43.18]  porque
[14:43.54]  es
[14:43.71]  inflamable,
[14:44.40]  siempre
[14:44.86]  a
[14:44.92]  baño
[14:45.24]  María,
[14:45.80]  nunca
[14:46.11]  al
[14:46.23]  fuego
[14:46.54]  directo.
[14:47.20]  Te
[14:47.37]  queda
[14:47.63]  un
[14:47.75]  impermeabilizante
[14:48.80]  líquido
[14:49.29]  natural,
[14:49.80]  parecido
[14:50.30]  a
[14:50.36]  la
[14:50.49]  silicona
[14:51.00]  pero
[14:51.25]  sin
[14:51.44]  plástico,
[14:52.20]  ideal
[14:52.48]  para
[14:52.70]  lo
[14:52.81]  que
[14:52.98]  no
[14:53.09]  querés
[14:53.48]  que
[14:53.65]  tenga
[14:53.93]  silicona.
[14:54.60]  Metodo
[14:55.14]  3,
[14:55.60]  el
[14:55.73]  mejor
[14:56.06]  para
[14:56.32]  lo
[14:56.45]  que
[14:56.65]  tocas
[14:57.00]  y
[14:57.17]  para
[14:57.34]  lo
[14:57.48]  que
[14:57.69]  va
[14:57.83]  comida,
[14:58.40]  cera
[14:58.70]  de
[14:58.85]  abeja
[14:59.22]  con
[14:59.45]  aceite
[14:59.90]  de
[15:00.11]  linaza.
[15:00.80]  Derretís
[15:01.37]  cera
[15:01.62]  de
[15:01.80]  abeja,
[15:02.20]  la
[15:02.37]  mezclás
[15:02.92]  con
[15:03.20]  aceite
[15:03.58]  de
[15:03.72]  linaza
[15:04.27]  y
[15:04.37]  te
[15:04.41]  queda
[15:04.76]  una
[15:04.97]  pasta,
[15:05.46]  una
[15:05.67]  manteca
[15:06.22]  de
[15:06.30]  madera.
[15:07.00]  Esa
[15:07.24]  pasta
[15:07.66]  la
[15:07.82]  frotás,
[15:08.60]  le
[15:08.77]  das
[15:08.87]  un
[15:09.02]  poco
[15:09.19]  de
[15:09.31]  calor
[15:09.60]  con
[15:09.80]  un
[15:09.94]  secador
[15:10.40]  o
[15:10.57]  al
[15:10.64]  sol
[15:10.88]  para
[15:11.19]  que
[15:11.43]  penetre,
[15:12.00]  y
[15:12.17]  sellas
[15:12.53]  la
[15:12.68]  madera
[15:13.14]  y
[15:13.21]  repela
[15:13.71]  el
[15:13.82]  agua,
[15:14.20]  pero
[15:14.42]  quedas
[15:14.75]  sana
[15:14.97]  para
[15:15.20]  tocar,
[15:15.60]  para
[15:15.86]  una
[15:16.04]  tabla
[15:16.35]  de
[15:16.47]  cortar,
[15:17.00]  para
[15:17.32]  una
[15:17.56]  mesada,
[15:18.20]  para
[15:18.47]  un
[15:18.62]  juguete
[15:19.04]  de
[15:19.20]  madera,
[15:19.60]  para
[15:19.87]  los
[15:20.07]  muebles
[15:20.60]  de
[15:20.67]  adentro.
[15:21.20]  Sin
[15:21.40]  olor
[15:21.66]  a
[15:21.72]  solvente,
[15:22.40]  sin
[15:22.61]  tóxicos.
[15:23.40]  Metodo
[15:24.04]  4,
[15:24.60]  para
[15:24.90]  restaurar
[15:25.60]  además
[15:26.12]  de
[15:26.27]  impermeabilizar,
[15:27.40]  aceite
[15:27.88]  de
[15:28.04]  linaza
[15:28.51]  con
[15:28.74]  trementina.
[15:29.80]  Si
[15:29.97]  tenés
[15:30.30]  una
[15:30.49]  madera
[15:30.87]  vieja,
[15:31.20]  gris,
[15:31.79]  resquebrajada,
[15:33.15]  que
[15:33.17]  además
[15:33.51]  de
[15:33.60]  impermeabilizar,
[15:34.40]  querés
[15:34.83]  revivir,
[15:35.40]  el
[15:35.57]  aceite
[15:35.99]  de
[15:36.14]  linaza
[15:36.60]  penetra
[15:37.00]  profundo
[15:37.80]  y
[15:37.97]  le
[15:38.01]  devuelve
[15:38.57]  la
[15:38.71]  vida
[15:39.00]  a
[15:39.06]  la
[15:39.19]  vez
[15:39.40]  que
[15:39.60]  la
[15:39.73]  protege.
[15:40.40]  Ese
[15:40.62]  es
[15:40.82]  un
[15:40.92]  mundo
[15:41.30]  aparte,
[15:41.80]  le
[15:41.97]  dediqué
[15:42.39]  un
[15:42.52]  video
[15:42.82]  entero,
[15:43.20]  pero
[15:43.46]  quédate
[15:43.95]  con
[15:44.20]  esto.
[15:44.60]  El
[15:44.78]  aceite
[15:45.33]  penetra
[15:46.00]  y
[15:46.08]  restaura,
[15:46.80]  la
[15:46.97]  silicona
[15:47.61]  sella
[15:48.01]  por
[15:48.26]  arriba
[15:48.82]  y
[15:48.88]  repele.
[15:49.60]  Para
[15:49.89]  madera
[15:50.31]  vieja
[15:50.66]  y
[15:50.73]  seca,
[15:51.20]  aceite.
[15:52.00]  Para
[15:52.24]  impermeabilizar
[15:53.14]  rápido
[15:53.60]  y
[15:53.77]  que
[15:53.81]  el
[15:53.92]  agua
[15:54.14]  rebote,
[15:54.60]  silicona.
[15:55.60]  Entonces,
[15:56.40]  resumamos
[15:56.95]  el
[15:57.07]  criterio,
[15:57.60]  porque
[15:57.93]  esto
[15:58.15]  es
[15:58.26]  oro.
[15:58.60]  Para
[15:58.82]  impermeabilizar
[15:59.65]  rápido,
[16:00.20]  barato
[16:00.60]  y
[16:00.77]  que
[16:00.86]  el
[16:01.02]  agua
[16:01.22]  rebote
[16:01.60]  de
[16:01.72]  todo,
[16:02.17]  silicona
[16:02.59]  con
[16:02.81]  disolvente.
[16:03.80]  Para
[16:04.09]  lo
[16:04.24]  que
[16:04.46]  toca
[16:04.80]  comida
[16:05.19]  o
[16:05.26]  piel,
[16:05.60]  cera
[16:05.90]  de
[16:06.05]  abeja
[16:06.42]  con
[16:06.65]  aceite.
[16:07.40]  Para
[16:07.66]  madera
[16:08.05]  vieja
[16:08.40]  que
[16:08.57]  querés
[16:08.97]  revivir,
[16:09.40]  aceite
[16:09.84]  de
[16:09.98]  linaza
[16:10.41]  con
[16:10.63]  trementina.
[16:11.60]  Para
[16:11.84]  el
[16:12.02]  cuero,
[16:12.40]  cera
[16:12.82]  o
[16:12.94]  grasa.
[16:13.80]  Con
[16:14.03]  esas
[16:14.33]  cuatro,
[16:14.80]  cubrís
[16:15.13]  absolutamente
[16:15.80]  todo
[16:16.04]  lo
[16:16.22]  que
[16:16.34]  tengas
[16:16.70]  en
[16:16.82]  tu
[16:16.94]  casa.
[16:17.40]  Y
[16:17.55]  ya
[16:17.58]  que
[16:17.76]  estamos,
[16:18.20]  déjame
[16:18.62]  darte
[16:18.87]  unos
[16:19.10]  cuantos
[16:19.55]  usos
[16:19.80]  más
[16:20.00]  que
[16:20.22]  a
[16:20.29]  la
[16:20.44]  gente
[16:20.81]  no
[16:21.00]  se
[16:21.11]  le
[16:21.26]  ocurren.
[16:21.80]  Porque
[16:22.08]  cuando
[16:22.36]  entendés
[16:22.80]  que
[16:22.97]  esto
[16:23.22]  impermeabiliza
[16:24.00]  cualquier
[16:24.85]  cosa
[16:25.22]  porosa,
[16:25.80]  se
[16:25.97]  te
[16:26.08]  abre
[16:26.37]  la
[16:26.51]  cabeza.
[16:27.20]  La
[16:27.53]  paja
[16:28.20]  y
[16:28.28]  el
[16:28.44]  mimbre.
[16:29.20]  Un
[16:29.37]  canasto
[16:29.85]  de
[16:29.99]  mimbre,
[16:30.60]  una
[16:30.82]  silla
[16:31.18]  de
[16:31.33]  paja,
[16:31.92]  un
[16:31.97]  sombrero
[16:32.42]  de
[16:32.54]  trabajo.
[16:33.20]  Una
[16:33.46]  manito
[16:34.00]  y
[16:34.04]  aguantan
[16:34.40]  la
[16:34.55]  lluvia
[16:35.00]  sin
[16:35.23]  abrirse
[16:35.77]  ni
[16:36.00]  pudrirse.
[16:36.80]  Las
[16:37.00]  canastas
[16:37.52]  de
[16:37.65]  la
[16:37.80]  huerta,
[16:38.20]  donde
[16:38.62]  juntás
[16:39.06]  los
[16:39.27]  tomates,
[16:39.80]  que
[16:40.00]  se
[16:40.13]  te
[16:40.26]  arruinan
[16:40.80]  con
[16:41.00]  la
[16:41.14]  humedad,
[16:41.60]  tratadas
[16:42.19]  duran
[16:42.60]  años.
[16:43.20]  La
[16:43.42]  soga
[16:43.86]  y
[16:43.97]  la
[16:44.20]  cuerda.
[16:45.20]  Una
[16:45.40]  soga
[16:45.66]  de
[16:45.79]  fibra
[16:46.20]  natural
[16:46.60]  se
[16:46.77]  pudre
[16:47.02]  con
[16:47.16]  la
[16:47.27]  humedad,
[16:47.80]  se
[16:48.00]  pone
[16:48.39]  dura
[16:48.80]  y
[16:48.89]  se
[16:49.07]  corta.
[16:49.80]  Impermeabilizada
[16:51.00]  aguanta
[16:51.40]  la
[16:51.53]  intemperie,
[16:52.20]  no
[16:52.37]  chupa
[16:52.73]  agua,
[16:53.20]  no
[16:53.36]  se
[16:53.54]  pudre.
[16:54.20]  La
[16:54.37]  cuerda
[16:54.69]  del
[16:54.88]  tendedero,
[16:55.60]  la
[16:55.78]  del
[16:56.05]  pozo,
[16:56.60]  la
[16:56.74]  que
[16:56.94]  ata
[16:57.16]  la
[16:57.30]  lona.
[16:57.80]  Un
[16:58.00]  bote,
[16:58.60]  una
[16:58.84]  canoa,
[16:59.40]  un
[16:59.57]  remo
[16:59.88]  de
[17:00.04]  madera.
[17:00.90]  La
[17:00.97]  gente
[17:01.22]  impermeabilizó
[17:02.00]  botes
[17:02.40]  de
[17:02.51]  madera
[17:02.80]  con
[17:03.01]  brea
[17:03.29]  y
[17:03.36]  aceite
[17:03.80]  toda
[17:04.15]  la
[17:04.25]  vida.
[17:04.80]  Un
[17:04.97]  bote
[17:05.25]  chico,
[17:05.80]  una
[17:06.14]  batea,
[17:06.80]  un
[17:06.97]  remo,
[17:07.49]  tratados,
[17:08.40]  repelen
[17:09.03]  el
[17:09.21]  agua
[17:09.60]  y
[17:09.66]  flotan
[17:10.05]  secos.
[17:10.60]  El
[17:10.82]  adobe
[17:11.40]  y
[17:11.50]  el
[17:11.71]  reboque
[17:12.43]  de
[17:12.65]  barro.
[17:13.20]  Si
[17:13.37]  tenés
[17:13.65]  una
[17:13.82]  construcción
[17:14.60]  de
[17:14.77]  barro,
[17:15.20]  de
[17:15.37]  adobe,
[17:16.00]  el
[17:16.17]  gran
[17:16.45]  enemigo
[17:17.00]  es
[17:17.20]  la
[17:17.35]  lluvia
[17:17.80]  que
[17:18.06]  le
[17:18.22]  pega
[17:18.54]  y
[17:18.62]  lo
[17:18.80]  lava.
[17:19.40]  Una
[17:19.64]  capa
[17:19.95]  exterior
[17:20.60]  que
[17:20.75]  repela
[17:21.00]  el
[17:21.20]  agua
[17:21.60]  y
[17:21.77]  deje
[17:22.02]  respirar
[17:22.61]  la
[17:22.77]  pared,
[17:23.20]  y
[17:23.35]  tu
[17:23.37]  construcción
[17:24.10]  de
[17:24.21]  tierra
[17:24.60]  dura
[17:24.95]  generaciones,
[17:26.00]  como
[17:26.32]  las
[17:26.56]  de
[17:26.72]  antes.
[17:27.40]  La
[17:27.58]  colmena,
[17:28.40]  el
[17:28.52]  gallinero,
[17:29.20]  la
[17:29.37]  conejera,
[17:30.33]  la
[17:30.37]  casita
[17:30.72]  del
[17:30.92]  perro,
[17:31.40]  el
[17:31.60]  buzón,
[17:32.40]  los
[17:32.57]  juguetes
[17:32.95]  de
[17:33.05]  madera
[17:33.40]  del
[17:33.74]  patio,
[17:34.40]  el
[17:34.57]  mango
[17:34.89]  del
[17:35.10]  hacha,
[17:35.60]  la
[17:35.80]  pala,
[17:36.40]  el
[17:36.60]  rastrillo.
[17:37.60]  El
[17:37.77]  cabo
[17:37.93]  de
[17:38.04]  madera
[17:38.40]  de
[17:38.60]  una
[17:38.70]  herramienta,
[17:39.40]  cuando
[17:39.82]  se
[17:39.92]  moja
[17:40.20]  y
[17:40.28]  se
[17:40.45]  seca
[17:40.80]  mil
[17:41.11]  veces,
[17:41.60]  se
[17:41.87]  raja
[17:42.40]  y
[17:42.49]  te
[17:42.67]  lastima
[17:43.32]  la
[17:43.50]  mano.
[17:44.20]  Tratado,
[17:45.10]  queda
[17:45.37]  sano
[17:45.60]  y
[17:45.69]  suave
[17:46.15]  por
[17:46.43]  años.
[17:47.20]  Cuando
[17:47.48]  te
[17:47.62]  des
[17:47.71]  cuenta
[17:48.00]  de
[17:48.20]  que
[17:48.40]  todo
[17:49.00]  lo
[17:49.17]  que
[17:49.28]  tenés
[17:49.62]  de
[17:49.73]  madera,
[17:50.20]  cartón,
[17:50.80]  tela,
[17:51.60]  cuero
[17:52.23]  o
[17:52.35]  fibra
[17:53.00]  se
[17:53.17]  puede
[17:53.42]  blindar
[17:53.80]  contra
[17:54.09]  el
[17:54.19]  agua
[17:54.40]  por
[17:54.72]  dos
[17:55.04]  pesos,
[17:55.60]  no
[17:55.78]  vas
[17:56.06]  a
[17:56.15]  poder
[17:56.62]  parar.
[17:57.40]  Es
[17:57.57]  adictivo,
[17:58.40]  te
[17:58.60]  aviso.
[17:59.57]  Ahora,
[17:59.83]  las
[18:00.00]  preguntas
[18:00.60]  que
[18:00.74]  siempre
[18:01.00]  me
[18:01.11]  hacen
[18:01.40]  cuando
[18:01.89]  muestro
[18:02.46]  esto.
[18:02.80]  Las
[18:03.01]  voy
[18:03.22]  a
[18:03.29]  contestar
[18:03.93]  una
[18:04.14]  por
[18:04.35]  una
[18:04.60]  porque
[18:05.02]  son
[18:05.14]  las
[18:05.32]  dudas
[18:05.62]  reales
[18:06.00]  que
[18:06.15]  te
[18:06.25]  van
[18:06.40]  a
[18:06.45]  frenar.
[18:06.80]  Primera,
[18:07.91]  ¿cuánto
[18:08.40]  dura?
[18:08.80]  ¿Se
[18:09.08]  lo
[18:09.22]  pongo
[18:09.57]  una
[18:09.80]  vez
[18:10.00]  y
[18:10.14]  listo
[18:10.83]  para
[18:11.71]  siempre?
[18:12.80]  No
[18:12.97]  para
[18:13.28]  siempre,
[18:14.00]  seamos
[18:14.51]  honestos.
[18:15.40]  En
[18:15.57]  algo
[18:15.82]  que
[18:15.93]  está
[18:16.24]  a
[18:16.30]  la
[18:16.42]  intemperie
[18:17.01]  fuerte,
[18:17.40]  sol
[18:17.73]  y
[18:17.84]  lluvia
[18:18.48]  todo
[18:18.90]  el
[18:19.13]  año,
[18:19.60]  la
[18:19.77]  película
[18:20.35]  se
[18:20.48]  va
[18:20.61]  gastando.
[18:21.40]  Dura,
[18:21.82]  tranquilamente,
[18:22.80]  un
[18:22.98]  par
[18:23.26]  de
[18:23.44]  años.
[18:24.20]  El
[18:24.39]  truco
[18:24.85]  es
[18:25.04]  renovar.
[18:26.00]  Cuando
[18:26.29]  notes
[18:26.53]  que
[18:26.68]  el
[18:26.78]  agua
[18:27.00]  ya
[18:27.10]  no
[18:27.20]  resbala
[18:27.60]  igual,
[18:28.37]  que
[18:28.39]  empieza
[18:28.83]  a
[18:28.89]  quedarse
[18:29.39]  un
[18:29.54]  poco,
[18:29.80]  le
[18:29.97]  das
[18:30.22]  otra
[18:30.47]  manito
[18:30.91]  y
[18:30.98]  listo.
[18:31.60]  Cinco
[18:31.95]  minutos
[18:32.45]  una
[18:32.66]  vez
[18:32.87]  cada
[18:33.15]  uno
[18:33.40]  o
[18:33.48]  dos
[18:33.73]  años.
[18:34.40]  En
[18:34.57]  algo
[18:34.87]  bajo
[18:35.17]  techo
[18:35.60]  o
[18:35.67]  que
[18:35.89]  no
[18:36.04]  sufre
[18:36.42]  tanto,
[18:36.80]  dura
[18:37.14]  muchísimo
[18:37.99]  más.
[18:38.60]  Segunda,
[18:39.40]  ¿cómo
[18:39.82]  sé
[18:40.00]  cuándo
[18:40.42]  hay
[18:40.62]  que
[18:40.78]  renovar?
[18:41.40]  Fácil,
[18:41.99]  la
[18:42.15]  madera
[18:42.61]  misma
[18:42.99]  te
[18:43.14]  avisa.
[18:43.80]  Le
[18:43.97]  tirás
[18:44.33]  un
[18:44.46]  poco
[18:44.80]  de
[18:44.86]  agua.
[18:45.40]  Si
[18:45.57]  el
[18:45.64]  agua
[18:45.87]  se
[18:45.99]  hace
[18:46.22]  bolita,
[18:46.75]  si
[18:46.88]  resbala,
[18:47.40]  está
[18:47.73]  perfecta,
[18:48.40]  no
[18:48.53]  toques
[18:48.92]  nada.
[18:49.40]  Si
[18:49.57]  el
[18:49.64]  agua
[18:49.88]  empieza
[18:50.31]  a
[18:50.40]  quedarse,
[18:51.00]  a
[18:51.17]  oscurecer
[18:51.63]  un
[18:51.76]  poquito
[18:52.22]  la
[18:52.34]  madera,
[18:52.80]  es
[18:52.97]  hora
[18:53.29]  de
[18:53.45]  otra
[18:53.80]  mano.
[18:54.40]  La
[18:54.57]  prueba
[18:54.89]  de
[18:55.01]  la
[18:55.13]  gota
[18:55.40]  es
[18:55.52]  tu
[18:55.64]  tablero
[18:56.11]  de
[18:56.20]  control,
[18:56.92]  la
[18:56.97]  haces
[18:57.22]  en
[18:57.34]  dos
[18:57.52]  segundos.
[18:58.20]  Tercera,
[18:59.40]  ¿aguanta
[19:00.03]  el
[19:00.22]  sol?
[19:00.60]  ¿No
[19:01.11]  se
[19:01.31]  reseca?
[19:02.40]  Aguanta
[19:02.98]  bien.
[19:03.60]  El
[19:03.77]  sol
[19:03.88]  es
[19:04.02]  lo
[19:04.10]  que
[19:04.27]  más
[19:04.50]  desgasta
[19:05.00]  cualquier
[19:05.40]  protección,
[19:06.00]  por
[19:06.24]  eso
[19:06.48]  renovás.
[19:07.40]  Pero
[19:07.64]  justamente
[19:08.23]  por
[19:08.41]  eso,
[19:08.74]  esto
[19:08.94]  es
[19:09.05]  mejor
[19:09.34]  que
[19:09.51]  un
[19:09.62]  barniz.
[19:10.20]  El
[19:10.37]  barniz
[19:10.72]  con
[19:10.92]  el
[19:11.05]  sol
[19:11.25]  se
[19:11.38]  descascara,
[19:12.20]  se
[19:12.37]  levanta
[19:12.87]  en
[19:13.02]  placas
[19:13.46]  feas,
[19:13.80]  y
[19:13.97]  tenés
[19:14.25]  que
[19:14.45]  lijar
[19:14.80]  todo
[19:15.03]  para
[19:15.29]  arreglarlo.
[19:16.20]  Esto
[19:16.44]  no
[19:16.62]  se
[19:16.68]  descascara,
[19:17.40]  simplemente
[19:18.15]  se
[19:18.28]  va
[19:18.41]  gastando
[19:18.95]  parejo.
[19:19.40]  Y
[19:19.57]  renovarlo
[19:20.07]  es
[19:20.20]  dar
[19:20.40]  otra
[19:20.66]  mano
[19:20.94]  encima,
[19:21.40]  sin
[19:21.64]  lijar
[19:22.03]  nada.
[19:22.60]  Cuarta,
[19:23.24]  y
[19:23.32]  esta
[19:23.64]  es
[19:23.80]  importante,
[19:24.80]  ¿sirve
[19:25.22]  para
[19:25.43]  lo
[19:25.55]  que
[19:25.80]  va
[19:25.85]  enterrado?
[19:26.74]  ¿Para
[19:27.02]  la
[19:27.15]  parte
[19:27.51]  del
[19:27.72]  poste
[19:28.07]  bajo
[19:28.35]  tierra?
[19:29.00]  Acá,
[19:29.54]  ojo,
[19:30.00]  ayuda,
[19:30.52]  pero
[19:30.77]  bajo
[19:31.02]  tierra,
[19:31.40]  en
[19:31.57]  contacto
[19:32.00]  permanente
[19:32.62]  con
[19:32.80]  la
[19:32.92]  humedad,
[19:33.40]  ninguna
[19:33.85]  película
[19:34.43]  dura
[19:34.68]  para
[19:34.93]  siempre,
[19:35.40]  porque
[19:35.75]  es
[19:35.86]  el
[19:35.96]  ataque
[19:36.40]  más
[19:36.55]  bravo
[19:36.82]  que
[19:37.00]  existe.
[19:37.60]  Para
[19:37.86]  los
[19:38.06]  postes,
[19:38.60]  lo
[19:38.74]  mejor
[19:39.09]  es
[19:39.23]  combinar.
[19:40.00]  Tratás
[19:40.54]  la
[19:40.70]  madera,
[19:41.27]  y
[19:41.34]  además
[19:41.60]  la
[19:41.70]  clavás
[19:42.02]  de
[19:42.10]  manera
[19:42.40]  que
[19:42.91]  drene,
[19:43.20]  o
[19:43.35]  le
[19:43.37]  pones
[19:43.64]  el
[19:43.75]  bicho
[19:44.03]  del
[19:44.20]  borato
[19:44.60]  para
[19:44.91]  la
[19:45.00]  parte
[19:45.34]  enterrada.
[19:46.20]  Para
[19:46.41]  todo
[19:46.62]  lo
[19:46.72]  que
[19:46.88]  está
[19:47.20]  al
[19:47.24]  aire,
[19:47.60]  esto
[19:47.86]  solo
[19:48.12]  alcanza
[19:48.60]  y
[19:48.63]  sobra.
[19:49.20]  Bajo
[19:49.46]  tierra
[19:49.87]  es
[19:50.00]  una
[19:50.20]  ayuda
[19:50.54]  más,
[19:51.00]  no
[19:51.12]  la
[19:51.24]  única.
[19:51.80]  Quinta,
[19:53.00]  ¿cuándo
[19:53.69]  seca
[19:54.00]  es
[19:54.15]  tóxico?
[19:55.10]  ¿Puedo
[19:55.42]  tenerlo
[19:55.73]  cerca
[19:56.00]  de
[19:56.10]  las
[19:56.26]  plantas,
[19:56.80]  de
[19:57.02]  los
[19:57.23]  animales?
[19:58.20]  Cuando
[19:58.54]  el
[19:58.65]  disolvente
[19:59.20]  se
[19:59.31]  evaporó
[19:59.76]  del
[19:59.93]  todo,
[20:00.40]  y
[20:00.57]  la
[20:00.59]  película
[20:01.20]  está
[20:01.54]  bien
[20:01.80]  seca
[20:02.11]  y
[20:02.13]  sin
[20:02.33]  olor,
[20:02.80]  la
[20:02.97]  silicona
[20:03.37]  curada
[20:03.71]  es
[20:03.82]  bastante
[20:04.29]  inerte,
[20:04.82]  no
[20:04.97]  larga
[20:05.70]  nada.
[20:06.00]  El
[20:06.17]  cuidado
[20:06.79]  es
[20:07.00]  mientras
[20:07.71]  lo
[20:07.84]  aplicás,
[20:08.60]  y
[20:08.77]  mientras
[20:09.20]  se
[20:09.33]  seca,
[20:09.72]  por
[20:09.95]  el
[20:10.05]  disolvente.
[20:11.00]  Una
[20:11.23]  vez
[20:11.46]  seco
[20:11.76]  y
[20:11.83]  aireado,
[20:12.40]  para
[20:12.69]  un
[20:12.83]  gallinero
[20:13.48]  o
[20:13.55]  una
[20:13.77]  maceta,
[20:14.42]  no
[20:14.55]  hay
[20:14.77]  drama.
[20:15.40]  Pero
[20:15.66]  repito,
[20:16.20]  para
[20:16.49]  lo
[20:16.63]  que
[20:16.84]  toca
[20:17.13]  comida
[20:17.56]  directamente,
[20:18.60]  no
[20:18.77]  uses
[20:19.02]  esta
[20:19.19]  versión,
[20:19.80]  usa
[20:20.02]  la
[20:20.17]  de
[20:20.32]  cera
[20:20.62]  de
[20:20.76]  abeja.
[20:21.40]  No
[20:21.58]  mezcles
[20:22.20]  las
[20:22.47]  cosas.
[20:23.34]  Sexta,
[20:23.69]  ¿se
[20:23.97]  puede
[20:24.31]  aplicar
[20:24.81]  sobre
