[00:00.08]  Levantá
[13:34.06]  más.
[13:34.60]  Con
[13:34.77]  lo
[13:34.88]  que
[13:35.05]  sale
[13:35.28]  un
[13:35.49]  solo
[13:35.62]  balde
[13:35.90]  de
[13:36.01]  marca,
[13:36.70]  blindas
[13:36.81]  la
[13:36.92]  azotea
[13:37.25]  entera
[13:37.58]  y
[13:37.64]  te
[13:37.75]  sobra
[13:38.02]  para
[13:38.43]  las
[13:38.48]  paredes.
[13:39.24]  Ahora,
[13:39.73]  las
[13:39.94]  preguntas
[13:40.57]  que
[13:40.77]  siempre
[13:41.40]  me
[13:41.41]  hacen,
[13:41.96]  te
[13:42.02]  las
[13:42.17]  contesto
[13:42.57]  rápido,
[13:43.17]  porque
[13:43.30]  son
[13:43.36]  las
[13:43.56]  dudas
[13:43.80]  reales
[13:44.14]  que
[13:44.31]  te
[13:44.42]  van
[13:44.64]  a
[13:44.69]  frenar.
[13:45.28]  Primera,
[13:46.19]  ¿cuánto
[13:47.37]  dura?
[13:48.00]  Bien
[13:48.33]  hecho.
[13:49.00]  Sobre
[13:49.34]  una
[13:49.53]  superficie
[13:50.21]  bien
[13:50.48]  preparada,
[13:51.22]  te
[13:51.35]  da
[13:51.48]  tranquilamente
[13:52.43]  cinco,
[13:52.93]  siete,
[13:53.38]  hasta
[13:53.99]  diez
[13:54.06]  años.
[13:54.68]  Muchísimo
[13:55.28]  más
[13:55.57]  que
[13:55.70]  la
[13:55.82]  goma
[13:56.06]  del
[13:56.24]  balde.
[13:56.76]  Y
[13:56.84]  cuando
[13:57.19]  lo
[13:57.26]  quieras
[13:57.66]  renovar,
[13:58.17]  no
[13:58.28]  hay
[13:58.44]  que
[13:58.61]  raspar
[13:58.96]  nada.
[13:59.44]  Lavas
[13:59.87]  y
[13:59.96]  das
[14:00.33]  una
[14:00.48]  mano
[14:00.83]  nueva
[14:01.61]  encima,
[14:01.97]  se
[14:02.15]  renueva
[14:02.75]  solo.
[14:03.48]  Segunda,
[14:04.37]  ¿sirve
[14:05.00]  en
[14:05.15]  techo
[14:05.67]  de
[14:05.86]  chapa
[14:06.34]  o
[14:06.45]  de
[14:06.61]  teja?
[14:07.36]  Este
[14:07.60]  escudo
[14:07.96]  es
[14:08.08]  para
[14:08.32]  superficies
[14:08.99]  porosas.
[14:09.64]  Losa
[14:09.93]  de
[14:10.07]  concreto,
[14:10.79]  ladrillo,
[14:11.80]  reboque,
[14:12.16]  fibrocemento.
[14:13.36]  Ahí
[14:13.69]  es
[14:13.84]  imbatible.
[14:14.92]  En
[14:14.97]  chapa
[14:15.30]  o
[14:15.36]  teja
[14:15.73]  esmaltada,
[14:16.34]  que
[14:16.53]  no
[14:16.66]  son
[14:17.01]  porosas,
[14:17.47]  no
[14:17.60]  penetra
[14:18.06]  igual.
[14:18.72]  Eso
[14:18.96]  es
[14:19.15]  otro
[14:19.44]  tema,
[14:19.92]  otra
[14:20.23]  solución.
[14:21.20]  Tercera,
[14:21.92]  ¿cuántos
[14:22.72]  metros
[14:23.36]  me
[14:23.37]  rinde
[14:23.78]  una
[14:24.00]  tanda?
[14:24.68]  Una
[14:24.86]  tanda
[14:25.16]  de
[14:25.28]  estas,
[14:25.70]  las
[14:25.88]  dos
[14:26.06]  manos,
[14:26.60]  te
[14:26.78]  cubre
[14:26.90]  más
[14:27.14]  o
[14:27.20]  menos
[14:27.50]  de
[14:27.62]  diez
[14:27.86]  a
[14:27.92]  quince
[14:28.61]  metros
[14:28.65]  cuadrados
[14:29.32]  según
[14:29.75]  lo
[14:29.84]  sedienta
[14:30.35]  que
[14:30.54]  esté
[14:30.86]  la
[14:30.99]  losa.
[14:31.48]  Sacas
[14:31.78]  la
[14:31.91]  cuenta
[14:32.37]  de
[14:32.39]  tu
[14:32.51]  azotea
[14:32.87]  y
[14:32.93]  preparas
[14:33.60]  las
[14:33.65]  tandas
[14:33.96]  que
[14:34.14]  necesites.
[14:34.96]  Siempre
[14:35.52]  fresca,
[14:36.16]  no
[14:36.32]  prepares
[14:37.12]  de
[14:37.13]  más.
[14:37.76]  Cuarta,
[14:38.52]  importante,
[14:39.86]  ¿puedo
[14:40.34]  pintarlo
[14:41.09]  de
[14:41.69]  color?
[14:42.20]  Sí,
[14:42.55]  una
[14:42.73]  vez
[14:43.01]  curado,
[14:43.57]  le
[14:43.72]  podés
[14:44.29]  dar
[14:44.41]  encima
[14:44.87]  una
[14:45.09]  pintura
[14:45.89]  para
[14:45.99]  exteriores
[14:46.44]  del
[14:46.57]  color
[14:46.81]  que
[14:46.96]  quieras
[14:47.47]  o
[14:47.54]  sumarle
[14:48.05]  un
[14:48.20]  poco
[14:48.50]  de
[14:48.63]  pigmento
[14:49.24]  a
[14:49.31]  la
[14:49.46]  última
[14:49.98]  mano.
[14:50.56]  Blanco
[14:50.99]  es
[14:51.09]  lo
[14:51.21]  mejor
[14:51.56]  igual,
[14:52.03]  porque
[14:52.63]  rebota
[14:52.83]  el
[14:52.96]  sol
[14:53.16]  y
[14:53.22]  mantiene
[14:53.76]  la
[14:53.89]  casa
[14:54.43]  más
[14:54.49]  fresca.
[14:55.12]  Y
[14:55.20]  quinta,
[14:55.88]  ¿en
[14:56.22]  qué
[14:56.56]  clima
[14:57.29]  funciona?
[14:58.00]  En
[14:58.13]  todos,
[14:58.58]  siempre
[14:59.04]  que
[14:59.23]  respetes
[14:59.88]  la
[15:00.07]  regla.
[15:00.44]  Aplicar
[15:00.87]  con
[15:01.04]  la
[15:01.16]  losa
[15:01.40]  fría
[15:01.70]  y
[15:01.76]  seca,
[15:02.11]  temprano
[15:02.61]  y
[15:02.66]  que
[15:02.84]  no
[15:02.96]  llueva
[15:03.32]  por
[15:03.50]  las
[15:03.68]  siguientes
[15:04.37]  veinticuatro
[15:05.16]  horas.
[15:06.16]  Elegí
[15:06.61]  un
[15:06.76]  par
[15:07.05]  de
[15:07.14]  días
[15:07.53]  de
[15:07.68]  buen
[15:08.33]  tiempo
[15:08.46]  y
[15:08.53]  listo.
[15:09.32]  Los
[15:09.43]  errores
[15:09.88]  que
[15:10.13]  arruinan
[15:10.59]  todo,
[15:10.94]  para
[15:11.40]  que
[15:11.43]  no
[15:11.56]  los
[15:11.75]  cometas.
[15:12.44]  Son
[15:12.77]  cuatro.
[15:13.44]  Uno,
[15:13.89]  saltarte
[15:14.61]  la
[15:14.79]  limpieza.
[15:15.84]  Ya
[15:16.02]  te
[15:16.20]  lo
[15:16.38]  dije
[15:16.75]  y
[15:16.84]  te
[15:17.02]  lo
[15:17.20]  repito
[15:18.01]  porque
[15:18.30]  es
[15:18.48]  EL
[15:18.66]  error.
[15:19.48]  Sobre
[15:19.91]  mugre
[15:20.22]  se
[15:20.37]  despega.
[15:21.16]  La
[15:21.32]  preparación
[15:22.25]  es
[15:22.42]  el
[15:22.58]  80%
[15:23.32]  del
[15:23.36]  trabajo.
[15:24.20]  Dos,
[15:24.63]  aplicar
[15:25.24]  con
[15:25.50]  la
[15:25.67]  losa
[15:26.27]  caliente
[15:26.71]  o
[15:26.79]  al
[15:26.96]  sol.
[15:27.56]  Se
[15:27.71]  achicharra,
[15:28.62]  se
[15:28.77]  hace
[15:29.07]  polvo.
[15:29.72]  Solo
[15:29.97]  con
[15:30.16]  losa
[15:30.41]  fría,
[15:30.84]  temprano.
[15:31.56]  Tres,
[15:32.11]  usar
[15:32.48]  cemento
[15:33.13]  gris
[15:33.67]  en
[15:33.73]  vez
[15:33.95]  de
[15:34.14]  blanco
[15:34.70]  o
[15:34.77]  meterle
[15:35.49]  yeso.
[15:36.28]  El
[15:36.36]  gris
[15:36.68]  es
[15:36.84]  grueso,
[15:37.48]  no
[15:37.64]  penetra
[15:38.37]  igual
[15:38.60]  y
[15:38.68]  el
[15:38.84]  yeso
[15:39.17]  con
[15:39.40]  el
[15:39.56]  agua
[15:40.04]  se
[15:40.13]  deshace.
[15:40.94]  Blanco
[15:41.39]  puro,
[15:41.84]  siempre.
[15:42.64]  Cuatro,
[15:43.32]  preparar
[15:44.01]  mucha
[15:44.70]  mezcla
[15:44.96]  y
[15:45.04]  dejarla
[15:45.64]  parada.
[15:46.48]  Esto
[15:46.77]  frague
[15:47.21]  en
[15:47.37]  el
[15:47.49]  balde.
[15:48.12]  Prepara
[15:48.61]  solo
[15:48.88]  lo
[15:49.03]  que
[15:49.24]  vas
[15:49.45]  a
[15:49.52]  usar
[15:49.79]  en
[15:49.95]  la
[15:50.28]  hora
[15:50.36]  siguiente
[15:51.00]  y
[15:51.09]  listo.
[15:51.72]  Y
[15:51.80]  volvamos
[15:52.35]  un
[15:52.48]  segundo
[15:52.98]  a
[15:53.05]  lo
[15:53.19]  importante,
[15:54.03]  a
[15:54.10]  la
[15:54.24]  pregunta
[15:54.83]  de
[15:54.94]  fondo.
[15:55.52]  Si
[15:55.67]  esto
[15:55.97]  es
[15:56.12]  tan
[15:56.41]  barato,
[15:56.93]  tan
[15:57.15]  simple,
[15:57.75]  tan
[15:57.97]  efectivo,
[15:58.71]  ¿por
[15:59.38]  qué
[15:59.45]  no
[15:59.53]  lo
[15:59.65]  sabe
[15:59.97]  todo
[16:00.28]  el
[16:00.57]  mundo?
[16:01.12]  Porque
[16:01.47]  en
[16:01.58]  la
[16:01.69]  ferretería
[16:02.32]  te
[16:02.42]  empujan
[16:02.80]  el
[16:03.09]  balde
[16:03.29]  de
[16:03.31]  dos
[16:03.48]  mil
[16:03.65]  pesos
[16:03.94]  y
[16:03.99]  nadie
[16:04.28]  te
[16:04.39]  dice
[16:04.67]  "che,
[16:05.05]  comprate
[16:05.66]  cemento
[16:06.09]  blanco,
[16:06.66]  resina
[16:07.10]  y
[16:07.17]  detergente".
[16:08.24]  Ya
[16:08.41]  sabes
[16:08.83]  la
[16:09.00]  respuesta.
[16:10.04]  Porque
[16:10.47]  un
[16:10.54]  techo
[16:10.93]  que
[16:11.04]  queda
[16:11.35]  sellado
[16:11.91]  de
[16:12.20]  verdad
[16:12.29]  por
[16:12.48]  diez
[16:12.75]  años,
[16:13.17]  con
[16:13.35]  dos
[16:13.97]  dólares,
[16:14.15]  es
[16:14.18]  una
[16:14.46]  pesadilla
[16:15.12]  para
[16:15.38]  el
[16:15.55]  que
[16:15.71]  vive
[16:16.01]  de
[16:16.10]  venderte
[16:16.62]  el
[16:16.75]  balde
[16:17.28]  caro
[16:17.34]  cada
[16:17.60]  dos
[16:17.80]  temporadas.
[16:18.76]  La
[16:18.89]  goma
[16:19.19]  que
[16:19.35]  se
[16:19.48]  despella
[16:20.01]  no
[16:20.14]  es
[16:20.27]  un
[16:20.40]  defecto,
[16:21.00]  es
[16:21.13]  el
[16:21.26]  modelo
[16:21.67]  de
[16:21.79]  negocio.
[16:22.60]  Necesitan
[16:23.32]  que
[16:23.56]  falle,
[16:24.12]  necesitan
[16:24.84]  que
[16:25.08]  vuelvas.
[16:25.92]  Pénsalo
[16:26.84]  un
[16:27.07]  segundo.
[16:28.28]  Te
[16:28.44]  venden
[16:28.93]  el
[16:29.17]  balde
[16:29.49]  caro,
[16:29.95]  que
[16:30.44]  dura
[16:30.53]  poco.
[16:31.24]  Cuando
[16:31.59]  falla
[16:31.90]  te
[16:32.03]  venden
[16:32.43]  otro
[16:32.70]  balde
[16:33.02]  y
[16:33.33]  encima
[16:33.50]  el
[16:33.63]  sellador
[16:34.17]  para
[16:34.44]  las
[16:34.84]  grietas
[16:35.11]  que
[16:35.29]  ya
[16:35.33]  aparecieron.
[16:36.36]  Y
[16:36.44]  si
[16:36.54]  la
[16:36.66]  cosa
[16:36.90]  avanza
[16:37.26]  hasta
[16:37.56]  el
[16:37.68]  hierro,
[16:38.28]  te
[16:38.28]  venden
[16:38.64]  el
[16:38.76]  arreglo
[16:39.18]  estructural,
[16:39.96]  que
[16:40.29]  sale
[16:40.38]  un
[16:40.48]  ojo
[16:40.68]  de
[16:40.88]  la
[16:41.18]  cara.
[16:42.24]  Cada
[16:42.48]  eslabón
[16:42.96]  de
[16:43.13]  esa
[16:43.26]  cadena
[16:43.62]  depende
[16:44.16]  de
[16:44.34]  que
[16:44.41]  el
[16:44.46]  anterior
[16:44.95]  falle.
[16:45.48]  Es
[16:45.63]  un
[16:45.78]  negocio
[16:46.37]  redondo,
[16:47.00]  para
[16:47.64]  ellos.
[16:47.96]  Y
[16:48.04]  el
[16:48.15]  único
[16:48.55]  que
[16:48.85]  pierde
[16:49.16]  sos
[16:49.35]  vos,
[16:49.66]  temporada
[16:50.28]  tras
[16:50.55]  temporada,
[16:51.28]  regalando
[16:51.89]  tu
[16:52.01]  sueldo
[16:52.40]  por
[16:52.60]  un
[16:52.84]  problema
[16:53.41]  que
[16:53.73]  se
[16:53.76]  resolvía
[16:54.40]  de
[16:54.51]  entrada
[16:55.04]  con
[16:55.25]  dos
[16:55.46]  dólares
[16:56.03]  de
[16:56.17]  cemento
[16:56.77]  blanco
[16:57.16]  y
[16:57.16]  resina.
[16:57.96]  El
[16:58.00]  día
[16:58.31]  que
[16:58.44]  aprendes
[16:58.94]  a
[16:59.00]  hacer
[16:59.32]  esto,
[16:59.81]  te
[17:00.00]  bajas
[17:00.12]  de
[17:00.24]  esa
[17:00.46]  cinta
[17:00.74]  transportadora
[17:01.81]  para
[17:01.89]  siempre.
[17:02.48]  Y
[17:02.56]  eso,
[17:02.92]  más
[17:03.22]  que
[17:03.44]  ahorrar
[17:03.96]  plata,
[17:04.63]  es
[17:04.65]  recuperar
[17:05.30]  el
[17:05.45]  control
[17:06.12]  de
[17:06.12]  tu
[17:06.41]  propia
[17:06.64]  casa.
[17:07.32]  Y
[17:07.40]  esto
[17:07.63]  no
[17:07.75]  es
[17:07.87]  nuevo,
[17:08.31]  eh.
[17:08.68]  El
[17:08.82]  cemento
[17:09.32]  con
[17:09.57]  cal
[17:09.74]  para
[17:10.02]  impermeabilizar
[17:11.07]  tiene
[17:11.42]  siglos.
[17:12.12]  Los
[17:12.35]  polimeros,
[17:13.19]  la
[17:13.34]  resina,
[17:13.94]  es
[17:14.25]  la
[17:14.29]  versión
[17:14.87]  moderna
[17:15.41]  y
[17:15.48]  barata
[17:16.05]  de
[17:16.09]  esa
[17:16.25]  sabiduría
[17:17.17]  vieja.
[17:17.84]  Nosotros
[17:18.27]  sólo
[17:18.46]  estamos
[17:18.79]  juntando
[17:19.18]  lo
[17:19.27]  que
[17:19.41]  siempre
[17:20.00]  funcionó
[17:20.18]  con
[17:20.32]  un
[17:20.42]  poco
[17:20.60]  de
[17:20.69]  química
[17:21.06]  de
[17:21.15]  a
[17:21.19]  dos
[17:21.44]  pesos,
[17:21.96]  devolviéndonos
[17:23.08]  el
[17:23.60]  poder
[17:23.61]  de
[17:23.75]  cuidar
[17:24.20]  nuestra
[17:24.72]  propia
[17:25.37]  casa,
[17:25.57]  sin
[17:25.84]  depender
[17:26.49]  de
[17:26.58]  nadie.
[17:27.30]  Y
[17:27.32]  ya
[17:27.43]  sabes
[17:27.75]  dónde
[17:28.14]  está
[17:28.46]  todo
[17:28.72]  esto
[17:28.91]  ordenado,
[17:29.62]  en
[17:29.75]  el
[17:29.88]  manual
[17:30.27]  del
[17:30.46]  constructor
[17:31.17]  libre,
[17:31.68]  con
[17:31.74]  las
[17:31.80]  medidas
[17:32.36]  al
[17:32.52]  mililitro.
[17:33.48]  Te
[17:33.61]  lo
[17:33.74]  digo
[17:34.00]  derecho,
[17:34.59]  con
[17:34.79]  ahorrarte
[17:35.41]  un
[17:35.65]  solo
[17:35.76]  balde
[17:36.09]  de
[17:36.22]  marca
[17:36.59]  ya
[17:36.68]  lo
[17:36.81]  pagaste,
[17:37.41]  y
[17:37.46]  te
[17:37.58]  queda
[17:37.92]  para
[17:38.28]  toda
[17:38.58]  la
[17:38.73]  vida.
[17:39.28]  El
[17:39.43]  link,
[17:39.88]  abajo
[17:40.24]  y
[17:40.32]  en
[17:40.48]  el
[17:40.62]  comentario
[17:41.45]  fijado.
[17:42.08]  No
[17:42.20]  lo
[17:42.32]  dejes
[17:42.63]  pasar.
[17:43.16]  Y
[17:43.24]  contame
[17:43.67]  en
[17:43.80]  los
[17:44.05]  comentarios,
[17:44.85]  de
[17:45.32]  cuántos
[17:45.51]  metros
[17:45.90]  cuadrados
[17:46.49]  es
[17:46.60]  la
[17:46.76]  azotea
[17:47.13]  que
[17:47.29]  vas
[17:47.59]  a
[17:47.59]  blindar
[17:48.16]  con
[17:48.41]  este
[17:48.75]  truco.
[17:49.44]  Y
[17:49.52]  decime
[17:49.87]  de
[17:49.94]  qué
[17:50.17]  parte
[17:50.46]  del
[17:50.64]  mundo
[17:50.92]  me
[17:51.03]  escribís,
[17:51.65]  que
[17:51.82]  me
[17:51.93]  encanta
[17:52.34]  ver
[17:52.50]  hasta
[17:52.80]  dónde
[17:53.37]  llega
[17:53.44]  esto.
[17:54.01]  Y
[17:54.04]  si
[17:54.12]  ya
[17:54.23]  lo
[17:54.39]  hiciste,
[17:54.85]  contanos
[17:55.31]  cómo
[17:55.60]  te
[17:55.88]  fue,
[17:56.12]  que
[17:56.16]  tu
[17:56.27]  experiencia
[17:56.93]  le
[17:57.07]  sirve
[17:57.31]  al
[17:57.40]  que
[17:57.58]  lo
[17:57.89]  va
[17:58.00]  a
[17:58.00]  intentar
[17:58.62]  la
[17:58.76]  semana
[17:59.24]  que
[17:59.47]  viene.
[18:00.12]  Entre
[18:00.41]  todos
[18:00.70]  sabemos
[18:01.09]  más
[18:01.33]  que
[18:01.50]  cualquier
[18:02.25]  folleto
[18:02.42]  de
[18:02.53]  ferretería.
[18:03.40]  Pero
[18:03.64]  no
[18:03.76]  bajes
[18:04.06]  la
[18:04.29]  guardia
[18:04.60]  todavía,
[18:05.56]  porque
[18:05.57]  sellar
[18:05.92]  el
[18:06.04]  techo
[18:06.34]  es
[18:06.46]  apenas
[18:06.79]  la
[18:07.33]  primera
[18:07.36]  batalla
[18:07.84]  ganada.
[18:08.84]  Si
[18:08.95]  miras
[18:09.27]  la
[18:09.34]  parte
[18:09.73]  de
[18:09.74]  abajo
[18:10.04]  de
[18:10.14]  tus
[18:10.31]  paredes
[18:10.71]  y
[18:10.94]  ves
[18:11.01]  que
[18:11.11]  la
[18:11.22]  pintura
[18:11.62]  se
[18:11.73]  ampolla
[18:12.13]  y
[18:12.19]  suelta
[18:12.77]  esa
[18:12.92]  litre
[18:13.35]  blanco
[18:13.82]  feo,
[18:14.22]  esa
[18:14.47]  humedad
[18:15.09]  no
[18:15.20]  viene
[18:15.64]  de
[18:15.78]  arriba.
[18:16.64]  Esa
[18:16.81]  está
[18:17.11]  subiendo
[18:17.58]  desde
[18:17.88]  el
[18:18.00]  piso,
[18:18.33]  por
[18:18.70]  los
[18:18.76]  cimientos,
[18:19.36]  comiéndose
[18:19.97]  tu
[18:20.08]  pared
[18:20.50]  de
[18:20.57]  abajo
[18:20.78]  hacia
[18:21.28]  arriba,
[18:21.73]  es
[18:21.85]  otra
[18:22.13]  bestia
[18:22.53]  y
[18:22.59]  se
[18:22.72]  frena
[18:23.05]  de
[18:23.37]  otra
[18:23.45]  manera,
[18:23.98]  sin
[18:24.18]  romper
[18:24.57]  un
[18:24.98]  solo
[18:25.13]  ladrillo.
[18:25.84]  En
[18:25.97]  el
[18:26.10]  próximo
[18:26.73]  video
[18:26.95]  te
[18:27.08]  voy
[18:27.27]  a
[18:27.33]  mostrar
[18:28.01]  cómo
[18:28.12]  cortar
[18:28.51]  esa
[18:28.70]  humedad
[18:29.15]  que
[18:29.47]  sube
[18:29.77]  por
[18:29.79]  los
[18:29.97]  muros,
[18:30.52]  de
[18:30.70]  una
[18:30.97]  vez
[18:31.24]  por
[18:31.51]  todas.
[18:32.24]  Así
[18:32.49]  que
[18:32.67]  suscribite
[18:33.28]  y
[18:33.34]  activa
[18:33.71]  la
[18:33.83]  campanita,
[18:34.50]  que
[18:34.68]  la
[18:34.82]  casa
[18:35.05]  la
[18:35.17]  protegemos
[18:36.17]  completa,
[18:36.39]  de
[18:36.41]  arriba
[18:37.00]  a
[18:37.11]  abajo.
[18:38.00]  Acordate,
[18:38.74]  no
[18:38.89]  hace
[18:39.20]  falta
[18:39.57]  la
[18:39.70]  cubeta
[18:40.17]  cara.
[18:40.76]  Hace
[18:41.05]  falta
[18:41.42]  la
[18:41.65]  losa
[18:41.85]  limpia,
[18:42.42]  la
[18:42.56]  mezcla
[18:43.00]  justa
[18:43.36]  y
[18:43.43]  el
[18:43.57]  pulso
[18:43.93]  para
[18:44.59]  meterla
[18:44.73]  a
[18:44.80]  presión.
[18:45.76]  Eso
[18:45.94]  ya
[18:46.06]  lo
[18:46.19]  tenés.
[18:46.84]  Soy
[18:46.97]  Tomás,
[18:47.52]  esto
[18:47.81]  fue
[18:48.02]  El
[18:48.16]  Constructor
[18:48.93]  Libre,
[18:49.42]  que
[18:49.63]  el
[18:49.77]  agua
[18:50.05]  rebote,
[18:50.68]  y
[18:50.69]  que
[18:50.88]  duermas
[18:51.80]  tranquilo
[18:52.12]  aunque
[18:52.55]  truene.
[18:53.16]  Nos
[18:53.31]  vemos
[18:53.59]  en
[18:53.66]  el
[18:53.76]  próximo.
