[00:00.08] En
[11:56.01]  capacidad
[11:56.66]  calor
[11:57.02] ífic
[11:57.39] a
[11:57.45]  alta
[11:57.88] ,
[11:58.22]  pueden
[11:58.31]  alm
[11:58.52] ac
[11:58.66] en
[11:58.80] ar
[11:58.94]  grandes
[11:59.54]  cant
[11:59.81] idades
[12:00.18]  de
[12:00.28]  energía
[12:01.01]  tér
[12:01.47] m
[12:01.59] ica
[12:01.74]  y
[12:01.83]  liber
[12:02.29] arla
[12:02.65]  lent
[12:03.02] amente
[12:03.57]  a
[12:03.66]  medida
[12:04.21]  que
[12:04.48]  el
[12:04.66]  ent
[12:04.93] orno
[12:05.47]  se
[12:05.47]  en
[12:05.65] fr
[12:05.83] ía
[12:06.39] .
[12:06.48]  En
[12:06.63]  tu
[12:06.78]  casa
[12:07.08] ,
[12:07.34]  los
[12:07.47]  elementos
[12:08.18]  de
[12:08.33]  masa
[12:08.64]  tér
[12:09.02] m
[12:09.06] ica
[12:09.30]  ya
[12:09.40]  exist
[12:09.78] en
[12:10.19] .
[12:10.30]  Las
[12:10.53]  p
[12:10.61] ared
[12:10.92] es
[12:11.07]  de
[12:11.22]  lad
[12:11.52] r
[12:11.68] illo
[12:11.87] ,
[12:11.98]  el
[12:12.13]  p
[12:12.21] iso
[12:12.44]  de
[12:12.59]  cement
[12:13.13] o
[12:13.28] ,
[12:13.37]  los
[12:13.52]  mue
[12:13.74] bles
[12:14.07]  pes
[12:14.28] ados
[12:14.58] ,
[12:15.05]  todos
[12:15.13]  tienen
[12:15.80]  capacidad
[12:16.52]  de
[12:16.75]  alm
[12:17.09] ac
[12:17.33] en
[12:17.55] ar
[12:17.76]  calor
[12:18.65] .
[12:18.72]  El
[12:18.86]  problema
[12:19.51]  es
[12:19.59]  que
[12:19.81]  general
[12:20.32] mente
[12:20.68]  los
[12:20.90]  estás
[12:21.34]  usando
[12:21.78]  al
[12:21.92]  rev
[12:22.36] és
[12:22.57] .
[12:22.64]  En
[12:22.77]  lugar
[12:23.12]  de
[12:23.23]  car
[12:23.43] gar
[12:23.64] los
[12:23.83]  de
[12:23.96]  calor
[12:24.29]  durante
[12:24.75]  el
[12:24.88]  día
[12:25.20]  para
[12:25.40]  que
[12:25.60]  lo
[12:25.73]  liber
[12:26.06] en
[12:26.17]  de
[12:26.65]  noche
[12:26.78] ,
[12:26.93]  los
[12:26.98]  de
[12:27.13] jas
[12:27.40]  enf
[12:27.62] ri
[12:27.76] ar
[12:27.90]  durante
[12:28.42]  el
[12:28.57]  día
[12:28.86]  porque
[12:29.30]  no
[12:29.45]  cal
[12:29.67] ent
[12:29.89] as
[12:30.17] ,
[12:30.24]  y
[12:30.24]  a
[12:30.46]  la
[12:30.55]  noche
[12:30.83]  cuando
[12:31.27]  quer
[12:31.56] és
[12:31.83]  calor
[12:32.29] ,
[12:32.51]  ten
[12:32.69] és
[12:32.86]  que
[12:33.10]  primero
[12:33.64]  cal
[12:33.87] entar
[12:34.26]  esa
[12:34.53]  masa
[12:34.80]  fr
[12:35.05] ía
[12:35.18]  antes
[12:35.57]  de
[12:35.72]  que
[12:35.95]  el
[12:36.10]  ambiente
[12:36.73]  emp
[12:37.02] iece
[12:37.26]  a
[12:37.34]  responder
[12:38.37] .
[12:38.42]  La
[12:38.63]  estr
[12:38.87] ateg
[12:39.17] ia
[12:39.32]  m
[12:39.39] ong
[12:39.65] ola
[12:39.83]  aplic
[12:40.21] ada
[12:40.46]  a
[12:40.50]  una
[12:40.73]  casa
[12:41.03]  moder
[12:41.41] na
[12:41.56]  sería
[12:42.30]  esta
[12:42.33] .
[12:42.64]  Cal
[12:42.83] enta
[12:43.10]  con
[12:43.27]  intens
[12:43.64] idad
[12:43.90]  durante
[12:44.34]  una
[12:44.52]  o
[12:44.59]  dos
[12:44.81]  horas
[12:45.09]  en
[12:45.21]  el
[12:45.33]  momento
[12:45.79]  del
[12:45.96]  día
[12:46.21]  donde
[12:46.52]  el
[12:46.64]  calor
[12:46.95]  exterior
[12:47.56]  es
[12:47.79]  mayor
[12:48.23] ,
[12:48.75]  general
[12:49.09] mente
[12:49.57]  el
[12:49.76]  med
[12:50.04] iod
[12:50.61] ía
[12:50.94] .
[12:50.94]  Ap
[12:51.17] aga
[12:51.38]  la
[12:51.62]  c
[12:51.65] ale
[12:51.91] f
[12:52.02] acción
[12:52.92] .
[12:52.92]  Cer
[12:53.20] ra
[12:53.50]  todo
[12:53.74]  para
[12:54.13]  que
[12:54.44]  el
[12:54.56]  calor
[12:55.02]  qu
[12:55.20] ede
[12:55.47]  ad
[12:55.65] ent
[12:56.10] ro
[12:56.40] .
[12:56.44]  La
[12:56.59]  masa
[12:56.90]  tér
[12:57.25] m
[12:57.26] ica
[12:57.49]  de
[12:57.68]  las
[12:57.87]  p
[12:57.94] ared
[12:58.24] es
[12:58.44]  y
[12:58.46]  el
[12:58.61]  p
[12:58.68] iso
[12:59.04]  va
[12:59.06]  a
[12:59.13]  liber
[12:59.51] ar
[12:59.66]  ese
[12:59.89]  calor
[13:00.27]  lent
[13:00.57] amente
[13:01.03]  durante
[13:01.68]  las
[13:01.96]  horas
[13:02.42]  sigu
[13:02.77] ientes
[13:03.64] .
[13:03.64]  Cu
[13:03.79] ánt
[13:04.11] as
[13:04.25]  horas
[13:04.64]  dura
[13:04.95]  ese
[13:05.18]  efecto
[13:05.65]  depende
[13:06.19]  de
[13:06.35]  la
[13:06.50]  masa
[13:06.81]  y
[13:06.88]  la
[13:07.03]  a
[13:07.10] isl
[13:07.33] ación
[13:07.80]  de
[13:07.95]  tu
[13:08.11]  casa
[13:08.70] .
[13:08.76]  En
[13:08.92]  una
[13:09.16]  casa
[13:09.48]  de
[13:09.64]  lad
[13:09.88] r
[13:09.96] illo
[13:10.28]  bien
[13:10.60]  a
[13:10.68] isl
[13:11.01] ada
[13:11.16]  puede
[13:11.56]  dur
[13:11.80] ar
[13:11.96]  cuatro
[13:12.43]  o
[13:12.52]  seis
[13:12.84]  horas
[13:13.48] .
[13:13.56]  En
[13:13.71]  un
[13:13.87]  depart
[13:14.31] amento
[13:14.76]  de
[13:14.93]  constru
[13:15.44] cción
[13:16.00]  liv
[13:16.11] iana
[13:16.41] ,
[13:16.56]  quiz
[13:16.86] ás
[13:17.08]  dos
[13:17.29]  o
[13:17.37]  tres
[13:17.83] .
[13:17.96]  Pero
[13:18.20]  en
[13:18.38]  cualquier
[13:18.87]  caso
[13:19.23] ,
[13:19.24]  estás
[13:19.60]  usando
[13:19.97]  la
[13:20.09]  energía
[13:20.58]  de
[13:20.70]  manera
[13:21.07]  más
[13:21.37]  e
[13:21.37] ficiente
[13:21.86]  que
[13:22.04]  si
[13:22.16]  cal
[13:22.34] ent
[13:22.52] aras
[13:22.84]  de
[13:23.04]  manera
[13:23.64]  continua
[13:24.44]  y
[13:24.78]  pare
[13:24.94] ja
[13:25.15]  durante
[13:25.81]  todo
[13:26.24]  el
[13:26.44]  día
[13:27.08] .
[13:27.16]  El
[13:27.32]  cuarto
[13:27.81]  principio
[13:28.55]  es
[13:28.71]  el
[13:28.87]  más
[13:29.20]  contra
[13:29.69] int
[13:29.93] uit
[13:30.16] ivo
[13:30.57]  de
[13:30.57]  todos
[13:31.18] .
[13:31.32]  Los
[13:31.61]  m
[13:31.70] ong
[13:32.01] oles
[13:32.38]  no
[13:32.63]  cal
[13:32.86] ient
[13:33.24] an
[13:33.63]  el
[13:33.95]  aire
[13:34.02] .
[13:34.36]  Cal
[13:34.53] ient
[13:34.77] an
[13:34.86]  las
[13:35.03]  superfic
[13:35.65] ies
[13:35.84] .
[13:35.91]  Hay
[13:36.07]  una
[13:36.30]  diferencia
[13:37.06]  enorme
[13:37.52]  entre
[13:37.90]  tener
[13:38.28]  una
[13:38.50]  habit
[13:38.89] ación
[13:39.34]  con
[13:39.58]  aire
[13:39.87]  cal
[13:40.52] iente
[13:40.56]  y
[13:40.60]  tener
[13:41.05]  una
[13:41.32]  habit
[13:41.76] ación
[13:42.29]  con
[13:42.55]  superfic
[13:43.26] ies
[13:43.52]  cal
[13:43.78] ientes
[13:44.55] .
[13:44.64]  El
[13:44.92]  aire
[13:45.48]  cal
[13:45.92] iente
[13:46.59]  su
[13:47.08] be
[13:47.16] .
[13:47.16]  Si
[13:47.31]  tu
[13:47.46]  te
[13:47.61] cho
[13:47.83]  tiene
[13:48.20]  tres
[13:48.50]  metros
[13:48.95]  de
[13:49.10]  altura
[13:49.55]  y
[13:49.62]  el
[13:49.76]  aire
[13:50.07]  cal
[13:50.30] iente
[13:50.65]  su
[13:50.96] be
[13:51.11] ,
[13:51.11]  la
[13:51.42]  parte
[13:51.64]  de
[13:51.79]  la
[13:51.93]  habit
[13:52.30] ación
[13:52.80]  donde
[13:53.18]  viv
[13:53.40] ís
[13:53.62]  vos
[13:53.99] ,
[13:54.36]  entre
[13:54.37]  el
[13:54.55]  su
[13:54.67] elo
[13:54.89]  y
[13:54.96]  metro
[13:55.34]  och
[13:55.56] enta
[13:55.86]  de
[13:56.01]  altura
[13:56.46] ,
[13:56.59]  está
[13:57.22]  más
[13:57.29]  fr
[13:57.44] ía
[13:57.75]  que
[13:57.88]  el
[13:58.16]  te
[13:58.41] cho
[13:59.04] ,
[13:59.04]  cal
[13:59.35] ent
[13:59.74] aste
[14:00.07]  el
[14:00.25]  aire
[14:00.83] ,
[14:00.88]  pero
[14:01.29]  cal
[14:01.61] ent
[14:01.91] aste
[14:02.31]  el
[14:02.52]  lugar
[14:03.02]  equiv
[14:03.54] ocado
[14:04.32] .
[14:04.44]  Las
[14:04.73]  superfic
[14:05.52] ies
[14:05.87]  cal
[14:06.10] ientes
[14:06.69]  irr
[14:06.98] adi
[14:07.46] an
[14:07.51]  calor
[14:07.95]  hacia
[14:08.44]  donde
[14:08.93]  estás
[14:09.52]  vos
[14:09.81]  de
[14:10.12]  manera
[14:10.59]  direct
[14:11.18] a
[14:11.52] .
[14:11.66]  Una
[14:11.89]  p
[14:11.96] ared
[14:12.27]  cal
[14:12.52] iente
[14:12.89]  te
[14:13.04]  cal
[14:13.27] ient
[14:13.58] a
[14:13.68]  a
[14:13.72]  vos
[14:13.95]  por
[14:14.20]  radi
[14:14.49] ación
[14:14.95]  aunque
[14:15.41]  el
[14:15.56]  aire
[14:15.87]  del
[14:16.10]  cuarto
[14:16.50]  esté
[14:16.95]  fr
[14:17.10] ío
[14:17.56] .
[14:17.68]  Un
[14:17.81]  p
[14:17.87] iso
[14:18.07]  cal
[14:18.27] iente
[14:18.61]  te
[14:18.74]  cal
[14:18.95] ient
[14:19.25] a
[14:19.27]  por
[14:19.47]  conduc
[14:19.88] ción
[14:20.22]  en
[14:20.36]  cuanto
[14:20.75]  lo
[14:21.02]  to
[14:21.02] cas
[14:21.36] .
[14:21.52]  Los
[14:21.79]  sistemas
[14:22.29]  de
[14:22.43]  c
[14:22.55] ale
[14:22.71] f
[14:22.78] acción
[14:23.27]  radi
[14:23.83] ante
[14:23.86] ,
[14:23.97]  como
[14:24.25]  los
[14:24.46]  pis
[14:24.72] os
[14:24.81]  de
[14:24.95]  agua
[14:25.23]  cal
[14:25.44] iente
[14:25.79]  o
[14:25.86]  los
[14:26.07]  panel
[14:26.42] es
[14:26.64]  radi
[14:27.15] antes
[14:27.83] ,
[14:28.04]  son
[14:28.26]  más
[14:28.58]  efic
[14:28.89] ientes
[14:29.35]  que
[14:29.58]  los
[14:29.81]  sistemas
[14:30.42]  de
[14:30.57]  c
[14:30.64] ale
[14:30.87] f
[14:30.94] acción
[14:31.48]  de
[14:31.63]  aire
[14:31.94]  por
[14:32.23]  esta
[14:32.47]  razón
[14:32.94]  exact
[14:33.32] a
[14:33.57] .
[14:33.70]  No
[14:33.91]  cal
[14:34.22] ient
[14:34.64] an
[14:34.85]  el
[14:35.05]  aire
[14:35.48] ,
[14:35.87]  cal
[14:36.00] ient
[14:36.42] an
[14:36.63]  las
[14:36.94]  superfic
[14:38.09] ies
[14:38.36] ,
[14:38.36]  y
[14:38.44]  las
[14:38.70]  superfic
[14:39.40] ies
[14:39.75]  te
[14:39.83]  cal
[14:40.09] ient
[14:40.44] an
[14:40.61]  a
[14:40.68]  vos
[14:41.24] .
[14:41.28]  En
[14:41.43]  la
[14:41.58]  G
[14:41.65] ER
[14:41.79]  Mong
[14:42.07] ola
[14:42.44] ,
[14:42.55]  la
[14:42.59]  est
[14:42.86] uf
[14:42.99] a
[14:43.02]  central
[14:43.54]  irr
[14:43.76] adi
[14:43.98] a
[14:44.10]  calor
[14:44.42]  hacia
[14:44.79]  las
[14:45.01]  p
[14:45.08] ared
[14:45.37] es
[14:45.51]  de
[14:45.66]  f
[14:45.73] ielt
[14:46.05] ros
[14:46.24]  circul
[14:46.68] ares
[14:47.34] .
[14:47.34]  Es
[14:47.52] as
[14:47.70]  p
[14:47.79] ared
[14:48.16] es
[14:48.52]  se
[14:48.59]  cal
[14:48.82] ient
[14:49.17] an
[14:49.35]  y
[14:49.45]  después
[14:50.19]  irr
[14:50.47] adi
[14:50.75] an
[14:50.93]  hacia
[14:51.40]  el
[14:51.58]  interior
[14:52.72] .
[14:52.72]  El
[14:52.86]  resultado
[14:53.52]  es
[14:53.65]  que
[14:53.89]  aunque
[14:54.29]  el
[14:54.43]  vol
[14:54.64] umen
[14:54.93]  de
[14:55.07]  aire
[14:55.36]  dentro
[14:55.79]  de
[14:55.93]  la
[14:56.13]  G
[14:56.14] ER
[14:56.28]  no
[14:56.42]  está
[14:56.78]  neces
[14:57.14] ariamente
[14:57.92]  cal
[14:58.19] iente
[14:58.64] ,
[14:59.10]  las
[14:59.33]  superfic
[14:59.83] ies
[15:00.11]  que
[15:00.37]  rode
[15:00.73] an
[15:00.91]  a
[15:01.00]  las
[15:01.27]  personas
[15:02.00]  sí
[15:02.27]  lo
[15:02.45]  están
[15:03.36] .
[15:03.43]  Y
[15:03.44]  eso
[15:03.70]  es
[15:03.85]  suficiente
[15:04.68]  para
[15:05.05]  mantener
[15:05.67]  el
[15:05.83]  confort
[15:06.41]  tér
[15:06.74] m
[15:06.82] ico
[15:07.38] .
[15:07.38]  En
[15:07.53]  tu
[15:07.68]  casa
[15:07.98] ,
[15:08.13]  pod
[15:08.36] és
[15:08.59]  aplic
[15:08.97] ar
[15:09.12]  este
[15:09.42]  principio
[15:10.11]  de
[15:10.26]  manera
[15:10.71]  simple
[15:11.48] .
[15:11.48]  Una
[15:11.70]  bol
[15:11.92] sa
[15:12.09]  de
[15:12.20]  agua
[15:12.49]  cal
[15:12.71] iente
[15:13.07]  contra
[15:13.51]  la
[15:13.65]  p
[15:13.72] ared
[15:14.01]  más
[15:14.30]  fr
[15:14.44] ía
[15:14.71]  de
[15:14.80]  tu
[15:14.94]  dorm
[15:15.22] itor
[15:15.66] io
[15:15.83]  cal
[15:15.88] ient
[15:16.23] a
[15:16.24]  esa
[15:16.46]  p
[15:16.53] ared
[15:16.96]  local
[15:17.67] mente
[15:18.82] .
[15:18.82]  Es
[15:18.99] a
[15:19.07]  p
[15:19.15] ared
[15:19.49]  deja
[15:19.89]  de
[15:19.99]  absor
[15:20.43] ber
[15:20.69]  tu
[15:20.92]  calor
[15:21.29]  inf
[15:21.55] rar
[15:21.88] ro
[15:21.98] jo
[15:22.23]  y
[15:22.37]  empieza
[15:22.84]  a
[15:22.94]  dev
[15:23.18] ol
[15:23.35] v
[15:23.43] ért
[15:23.82] elo
[15:24.03] .
[15:24.40]  Lad
[15:24.63] rill
[15:24.94] os
[15:25.09]  o
[15:25.23]  pied
[15:25.47] ras
[15:25.70]  cal
[15:25.93] ent
[15:26.16] ados
[15:26.47]  en
[15:26.62]  el
[15:26.77]  hor
[15:27.00] no
[15:27.17]  y
[15:27.22]  env
[15:27.45] u
[15:27.52] elt
[15:27.74] os
[15:27.90]  en
[15:28.05]  tela
[15:28.63]  son
[15:28.72]  la
[15:28.85]  versión
[15:29.39]  Mong
[15:29.66] ola
[15:29.88]  exact
[15:30.51] a
[15:30.57]  de
[15:30.80]  la
[15:31.03]  misma
[15:31.60]  idea
[15:32.44] .
[15:32.52]  Una
[15:32.68]  lá
[15:32.94] m
[15:33.00] para
[15:33.32]  de
[15:33.48]  bajo
[15:33.80]  consumo
[15:34.36]  cerca
[15:34.76]  de
[15:34.92]  la
[15:35.08]  p
[15:35.16] ared
[15:35.48]  más
[15:35.80]  fr
[15:36.20] ía
[15:36.36] ,
[15:36.38]  no
[15:36.52]  dirig
[15:36.92] ida
[15:37.16]  hacia
[15:37.56]  vos
[15:37.80] ,
[15:38.00]  sino
[15:38.24]  hacia
[15:38.56]  la
[15:38.83]  p
[15:38.87] ared
[15:39.51] ,
[15:39.80]  cal
[15:39.83] ient
[15:40.26] a
[15:40.36]  esa
[15:40.69]  superfic
[15:41.75] ie
[15:41.85]  y
[15:41.85]  cre
[15:42.17] a
[15:42.27]  un
[15:42.48]  esc
[15:42.83] udo
[15:43.12]  radi
[15:43.55] ante
[15:43.97]  entre
[15:44.52]  vos
[15:44.94]  y
[15:45.08]  el
[15:45.15]  fr
[15:45.36] ío
[15:45.68]  exterior
[15:47.00] .
[15:47.00]  Est
[15:47.27] as
[15:47.46]  no
[15:47.63]  son
[15:47.90]  téc
[15:48.26] nicas
[15:48.71]  de
[15:48.89]  emergen
[15:49.79] cia
[15:49.97] ,
[15:50.02]  son
[15:50.24]  téc
[15:50.61] nicas
[15:51.15]  de
[15:51.23]  efic
[15:51.59] iencia
[15:52.44] .
[15:52.44]  H
[15:52.51] ac
[15:52.67] en
[15:52.79]  más
[15:53.07]  con
[15:53.28]  menos
[15:53.63]  energía
[15:54.20]  porque
[15:54.62]  atac
[15:54.90] an
[15:55.04]  el
[15:55.20]  problema
[15:55.75]  correct
[15:56.25] o
[15:56.32]  en
[15:56.46]  el
[15:56.60]  lugar
[15:56.95]  correct
[15:57.52] o
[15:57.80] .
[15:57.88]  Qu
[15:57.99] into
[15:58.38]  y
[15:58.47]  último
[15:59.16]  principio
[16:00.20] ,
[16:00.23]  las
[16:00.53]  cap
[16:00.81] as
[16:01.00]  sobre
[16:01.49]  el
[16:01.68]  cuerpo
[16:02.46] ,
[16:02.58]  no
[16:02.65]  sobre
[16:03.14]  el
[16:03.33]  ambiente
[16:04.31] .
[16:04.52]  Los
[16:04.74]  m
[16:04.81] ong
[16:05.03] oles
[16:05.33]  no
[16:05.48]  us
[16:05.65] an
[16:05.78]  ro
[16:05.93] pa
[16:06.08]  liv
[16:06.30] iana
[16:06.60]  dentro
[16:07.05]  del
[16:07.27]  a
[16:07.38] jer
[16:07.56]  y
[16:08.04]  depend
[16:08.08] en
[16:08.23]  del
[16:08.45]  a
[16:08.52] jer
[16:08.74]  para
[16:09.04]  mantener
[16:09.64] se
[16:09.92]  cal
[16:10.24] ientes
[16:11.20] .
[16:11.20]  Us
[16:11.35] an
[16:11.50]  cap
[16:11.74] as
[16:11.91]  sobre
[16:12.24]  el
[16:12.39]  cuerpo
[16:12.91]  que
[16:13.08]  cre
[16:13.28] an
[16:13.43]  micro
[16:13.80] cl
[16:13.95] imas
[16:14.25]  personal
[16:14.96] es
[16:15.00]  independ
[16:15.60] ientes
[16:16.05]  del
[16:16.27]  ambiente
[16:16.87]  general
[16:17.70] .
[16:17.70]  El
[16:17.85]  del
[16:18.08] ,
[16:18.23]  la
[16:18.66]  prend
[16:18.76] a
[16:18.89]  exterior
[16:19.45]  tradicional
[16:20.30]  m
[16:20.37] ong
[16:20.60] ola
[16:20.83] ,
[16:20.98]  es
[16:21.32]  una
[16:21.36]  t
[16:21.43] ún
[16:21.66] ica
[16:21.89]  lar
[16:22.12] ga
[16:22.27]  y
[16:22.34]  cru
[16:22.57] z
[16:22.72] ada
[16:22.87]  que
[16:23.10]  c
[16:23.17] ierra
[16:23.68]  de
[16:23.83]  manera
[16:24.29]  que
[16:24.49]  no
[16:24.64]  deja
[16:24.94]  entrar
[16:25.38]  el
[16:25.53]  v
[16:25.60] iento
[16:25.99]  y
[16:26.04]  cre
[16:26.26] a
[16:26.33]  una
[16:26.57]  cámara
[16:27.07]  de
[16:27.21]  aire
[16:27.70]  cal
[16:27.74] ent
[16:27.96] ado
[16:28.18]  por
[16:28.49]  el
[16:28.55]  cuerpo
[16:29.08]  a
[16:29.18]  lo
[16:29.38]  largo
[16:29.90]  de
[16:30.09]  todo
[16:30.49]  el
[16:31.20]  torso
[16:31.21] .
[16:31.54]  De
[16:31.68] baj
[16:31.89] o
[16:31.96]  van
[16:32.17]  cap
[16:32.38] as
[16:32.51]  de
[16:32.66]  l
[16:32.75] ana
[16:32.96]  que
[16:33.15]  hacen
[16:33.50]  lo
[16:33.71]  mismo
[16:33.99]  a
[16:34.06]  una
[16:34.29]  esc
[16:34.48] ala
[16:34.69]  más
[16:34.98]  pequeña
[16:35.68] .
[16:35.80]  El
[16:35.95]  principio
[16:36.62]  es
[16:36.77]  que
[16:37.00]  el
[16:37.14]  cuerpo
[16:37.58]  humano
[16:38.02]  gener
[16:38.39] a
[16:38.51]  suficiente
[16:39.20]  calor
[16:39.72]  para
[16:39.99]  mantener
[16:40.46]  un
[16:40.61]  vol
[16:40.83] umen
[16:41.20]  pequeño
[16:41.86]  de
[16:42.02]  aire
[16:42.59]  signific
[16:43.01] ativ
[16:43.34] amente
[16:43.83]  más
[16:44.17]  cá
[16:44.40] l
[16:44.48] ido
[16:44.72]  que
[16:44.96]  el
[16:45.12]  ambiente
[16:45.94] .
[16:46.08]  Si
[16:46.23]  ese
[16:46.46]  vol
[16:46.69] umen
[16:46.99]  pequeño
[16:47.61]  está
[16:47.98]  bien
[16:48.28]  contenido
[16:48.97]  por
[16:49.24]  ro
[16:49.35] pa
[16:49.50]  ad
[16:49.80] ec
[16:49.87] u
[16:50.10] ada
[16:50.17] ,
[16:50.25]  el
[16:50.40]  cuerpo
[16:50.86]  se
[16:51.03]  mant
[16:51.35] iene
[16:51.61]  cal
[16:51.84] iente
[16:52.38]  aunque
[16:52.87]  el
[16:53.05]  ambiente
[16:53.78]  esté
[16:54.23]  fr
[16:54.69] ío
[16:54.89] .
[16:55.00]  En
[16:55.14]  términ
[16:55.77] os
[16:55.80]  prá
[16:56.15] ct
[16:56.23] icos
[16:56.52]  para
[16:56.82]  una
[16:57.03]  noche
[16:57.40]  de
[16:57.76]  inv
[16:57.80] ierno
[16:58.13] ,
[16:58.27]  en
[16:58.44]  una
[16:58.63]  casa
[16:58.92]  mal
[16:59.17]  c
[16:59.21] ale
[16:59.43] f
[16:59.50] acc
[16:59.72] ion
[17:00.28] ada
[17:00.30] ,
[17:00.40]  una
[17:00.64]  cam
[17:00.88] is
[17:01.03] eta
[17:01.26]  ajust
[17:01.65] ada
[17:01.88]  de
[17:02.04]  alg
[17:02.28] od
[17:02.43] ón
[17:02.77]  directamente
[17:03.61]  sobre
[17:04.00]  la
[17:04.48]  piel
[17:04.51]  absor
[17:04.87] be
[17:05.02]  el
[17:05.20]  sud
[17:05.42] or
[17:05.65]  y
[17:05.74]  lo
[17:05.81]  ale
[17:06.05] ja
[17:06.32]  de
[17:06.53]  la
[17:06.74]  piel
[17:07.16] .
[17:07.48]  Enc
[17:07.75] ima
[17:08.02] ,
[17:08.20]  una
[17:08.63]  cap
[17:08.74] a
[17:08.82]  de
[17:09.01]  l
[17:09.10] ana
[17:09.37]  que
[17:09.64]  at
[17:09.82] rap
[17:10.09] a
[17:10.18]  aire
[17:10.54]  cal
[17:10.81] ent
[17:11.08] ado
[17:11.35]  por
[17:11.62]  el
[17:11.80]  cuerpo
[17:12.65] .
[17:12.72]  Enc
[17:12.96] ima
[17:13.36] ,
[17:13.47]  una
[17:13.60]  cap
[17:13.90] a
[17:13.92]  exterior
[17:14.57]  que
[17:14.81]  cort
[17:15.13] a
[17:15.21]  el
[17:15.37]  v
[17:15.45] iento
[17:15.85]  o
[17:15.93]  el
[17:16.09]  movimiento
[17:16.90]  del
[17:17.25]  aire
[17:17.46]  fr
[17:17.62] ío
[17:17.86]  del
[17:18.10]  cuarto
[17:18.82] .
[17:18.92]  Con
[17:19.11]  esas
[17:19.36]  tres
[17:19.61]  cap
[17:19.80] as
[17:19.92]  bien
[17:20.17]  eleg
[17:20.42] idas
[17:20.67] ,
[17:20.81]  pod
[17:21.08] és
[17:21.16]  dormir
[17:21.53]  confort
[17:21.97] able
[17:22.22] mente
[17:22.53]  en
[17:22.69]  una
[17:22.84]  habit
[17:23.14] ación
[17:23.60]  que
[17:23.84]  está
[17:24.33]  a
[17:24.37]  12
[17:24.82]  o
[17:24.90]  15
[17:25.39]  grad
[17:25.72] os
[17:25.88]  sin
[17:26.37]  neces
[17:26.53] idad
[17:26.86]  de
[17:27.02]  c
[17:27.10] ale
[17:27.36] f
[17:27.42] acción
[17:28.00]  ad
[17:28.16] icional
[17:29.08] .
[17:29.08]  Los
[17:29.30]  al
[17:29.48] pin
[17:29.64] istas
[17:29.99] ,
[17:30.20]  los
[17:30.34]  explor
[17:30.77] adores
[17:31.28]  pol
[17:31.40] ares
[17:31.67] ,
[17:31.94]  los
[17:32.03]  at
[17:32.17] let
[17:32.38] as
[17:32.52]  de
[17:32.66]  deport
[17:33.15] es
[17:33.23]  de
[17:33.37]  inv
[17:33.58] ierno
[17:33.93]  lleg
[17:34.30] aron
[17:34.60]  todos
[17:34.98]  a
[17:35.05]  la
[17:35.20]  misma
[17:35.58]  conclus
[17:36.11] ión
[17:36.66]  que
[17:36.72]  los
[17:36.89]  m
[17:36.95] ong
[17:37.19] oles
[17:37.50]  lleg
[17:37.81] aron
[17:38.12]  2000
[17:39.04]  años
[17:39.45]  antes
[17:40.12] .
[17:40.12]  Cap
[17:40.43] as
[17:40.58] ,
[17:40.85]  l
[17:41.12] ana
[17:41.13]  en
[17:41.31]  contact
[17:41.96] o
[17:42.14]  con
[17:42.33]  el
[17:42.54]  cuerpo
[17:43.25] ,
[17:43.62]  cortar
[17:43.83]  el
[17:43.99]  v
[17:44.11] iento
[17:44.54]  en
[17:44.73]  la
[17:44.91]  cap
[17:45.21] a
[17:45.27]  exterior
[17:46.17]  y
[17:46.19]  nunca
[17:46.47]  dep
[17:46.62] ender
[17:46.92]  del
[17:47.11]  ambiente
[17:47.63]  para
[17:47.89]  hacer
[17:48.21]  el
[17:48.34]  trabajo
[17:48.79]  que
[17:48.99]  la
[17:49.11]  ro
[17:49.24] pa
[17:49.38]  puede
[17:49.69]  hacer
[17:50.01]  mejor
[17:50.60] .
[17:50.60]  Ahora
[17:50.95]  quiero
[17:51.37]  habl
[17:51.65] arte
[17:51.93]  de
[17:52.07]  los
[17:52.28]  números
[17:52.93] .
[17:53.08]  Una
[17:53.28]  c
[17:53.38] ale
[17:53.54] f
[17:53.61] acción
[17:54.07]  a
[17:54.13]  gas
[17:54.33]  de
[17:54.46]  uso
[17:54.66]  dom
[17:54.86] ést
[17:55.13] ico
[17:55.32]  consume
[17:55.79]  en
[17:55.92]  prom
[17:56.19] ed
[17:56.32] io
[17:56.45]  entre
[17:56.78]  20
[17:57.18]  y
[17:57.24]  40
[17:57.66]  metros
[17:58.04]  c
[17:58.10] ú
[17:58.24] b
[17:58.29] icos
[17:58.68]  de
[17:58.86]  gas
[17:59.18]  por
[17:59.40]  mes
[17:59.85]  en
[17:59.91]  inv
[18:00.12] ierno
[18:00.57]  depend
[18:01.11] iendo
[18:01.56]  del
[18:01.90]  cl
[18:02.01] ima
[18:02.28]  y
[18:02.37]  del
[18:02.91]  uso
[18:03.13] .
[18:03.20]  En
[18:03.33]  muchos
[18:03.73]  países
[18:04.19]  de
[18:04.32]  América
[18:04.85]  Lat
[18:05.04] ina
[18:05.38] ,
[18:05.41]  ese
[18:05.58]  consumo
[18:06.04]  representa
[18:06.71]  entre
[18:07.04]  80
[18:07.44]  y
